Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0lRnxwJeUOxwEvWMw4uQKj,"Think About Us","Think About Us","Sonny Fodera;D.O.D;Poppy Baskcomb",2025-10-17,178148,80,false,insomniac_events,2026-02-03T18:23:44Z,"house,drum and bass","Solotoko",0.774,0.558,1,-5.799,1,0.0421,0.0126,0.00306,0.0619,0.493,127.975,4
spotify:track:0qFJaAtOXhT94nwgRxPVpI,"UH OH!","UH OH!","Loud Luxury;Natalie Jane",2025-09-05,143439,56,false,insomniac_events,2026-02-03T18:23:44Z,"","Casablanca/Loud Luxury",0.702,0.628,4,-7.725,1,0.0912,0.0745,0.00159,0.096,0.604,128.011,4
spotify:track:6pkSEqfTFyoqaPXQ1d4nLp,"Bring Me To Life","Bring Me To Life","Tiësto;FORS",2025-11-21,258461,67,false,insomniac_events,2026-02-03T18:23:44Z,"edm,trance,big room,house","Atlantic Records",0.588,0.77,5,-4.75,1,0.051,0.000839,0.421,0.082,0.234,130.015,4
spotify:track:60wwxj6Dd9NJlirf84wr2c,"Clarity","Clarity","Zedd;Foxes",2012-01-01,271426,80,false,insomniac_events,2026-02-03T18:23:44Z,"edm","Interscope",0.509,0.781,8,-3.48,1,0.072,0.0398,0,0.0749,0.176,128,4
spotify:track:4XvBeg4S7vebOTRxSokSZm,"U Are My High","Nomad","DJ Snake",2025-11-07,180480,42,false,insomniac_events,2026-02-03T18:23:44Z,"","DJ Snake Music Productions Limited",0.349,0.783,0,-4.756,0,0.0465,0.02,0.00252,0.175,0.188,125.082,4
spotify:track:4SnuG111QPmgwRmlwhJ4Mg,"Hold Me","Hold Me","Lavern",2023-03-31,140000,69,false,insomniac_events,2026-02-03T18:23:44Z,"stutter house","Island Records",0.762,0.942,9,-6.432,0,0.038,0.586,0.764,0.115,0.038,120,4
spotify:track:4jP7Eh55rn0buD5c2Cknmj,"Plush","Plush","DJ Seinfeld",2026-01-06,239133,55,false,insomniac_events,2026-02-03T18:23:44Z,"lo-fi house","Ninja Tune",0.741,0.774,7,-18.393,1,0.0575,0.000804,0.836,0.129,0.936,137.03,4
spotify:track:2kqKsdnfgTraa9v4adnadN,"PUT IT DOWN","PUT IT DOWN","Angrybaby",2025-03-28,130434,64,false,insomniac_events,2026-02-03T18:23:44Z,"stutter house","TH3RD BRAIN",0.72,0.56,6,-7.586,0,0.103,0.496,0.39,0.133,0.345,138.088,4
spotify:track:6ZNa0Y4AzxgYv8HsYMEiCU,"Free My Mind","Free My Mind","Babsy.;Jeanne Taylor",2025-09-05,201739,52,false,insomniac_events,2026-02-03T18:23:44Z,"stutter house","Lost In Dreams Records",0.659,0.499,11,-16.72,1,0.0434,0.0035,0.000125,0.0999,0.17,137.933,4
spotify:track:6sEWxmrt8l3bucB9evYgMW,"Fault Line","Fault Line","Pauline Herr;Marlhy",2024-07-12,229714,33,false,insomniac_events,2026-02-03T18:23:44Z,"future bass,melodic bass,bass house","Lost In Dreams Records",0.554,0.934,6,-6.022,0,0.0579,0.0153,0.0245,0.149,0.0391,140.029,4
