Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5On7CF20MHgFOYUUlacXbf,"Substance","Substance","Alok;SCRIPT;FAANGS",2025-12-12,160496,58,false,insomniac_events,2026-01-06T19:50:18Z,"brazilian bass,electronic,slap house,electro house,melodic techno,tech house,melodic house","Insomniac Records",0.857,0.899,6,-6.7,0,0.0789,0.00194,0.231,0.069,0.126,130.022,4
spotify:track:5ALKOITz7HU3m3Ac3aVDXk,"Bullshit","Bullshit","Matroda;KLP",2025-10-24,178865,59,true,insomniac_events,2026-01-06T19:50:18Z,"bass house,tech house,g-house,house,electro house","Insomniac Records",0.841,0.871,9,-4.982,1,0.0524,0.00529,0.14,0.0803,0.83,130.019,4
spotify:track:7qHSfKzilTsXJuuWcjX1vZ,"Cash Out","Cash Out","SIDEPIECE;Bobby Shmurda",2025-06-20,182225,63,true,insomniac_events,2026-01-06T19:50:18Z,"tech house,edm,house","LIP SERVICE",0.86,0.897,8,-4.456,1,0.0581,0.00112,0.0419,0.098,0.46,130.031,4
spotify:track:7leW1Dmvs9A4oDh9i5Qwpz,"These Words","These Words","Badger;Natasha Bedingfield",2024-04-05,136580,71,false,insomniac_events,2026-01-06T19:50:18Z,"bassline,uk garage","Sony Music UK",0.595,0.989,5,-2.695,1,0.0736,0.017,0,0.321,0.223,129.989,4
spotify:track:2x1TExAkrUFFxVk616CKw8,"Lover Online","Digital Notes","NOTD;Maia Wright",2025-03-14,167444,30,false,insomniac_events,2026-01-06T19:50:18Z,"stutter house","Universal Music AB",0.768,0.844,11,-5.247,1,0.0949,0.098,0.103,0.194,0.631,131.961,4
spotify:track:4ClVzfSYEea03HjEoDYOX3,"Sweet Nothing - 2025 Edit","Sweet Nothing (2025 Edit)","D.O.D;Calvin Harris;Florence Welch",2025-08-22,202176,70,false,insomniac_events,2026-01-06T19:50:18Z,"house,edm","Columbia",0.501,0.965,8,-4.711,0,0.0455,0.00185,0.174,0.145,0.402,130.037,4
spotify:track:0v4y0mPJaLyCKOWC5khfmg,"Dancing In The Dark","Dancing In The Dark","Noizu;Annaca",2025-01-24,188307,40,false,insomniac_events,2026-01-06T19:50:18Z,"tech house,house","Insomniac Records",0.575,0.876,9,-5.253,0,0.0308,0.0168,0.00603,0.0771,0.479,130.043,4
spotify:track:0lRnxwJeUOxwEvWMw4uQKj,"Think About Us","Think About Us","Sonny Fodera;D.O.D;Poppy Baskcomb",2025-10-17,178148,80,false,insomniac_events,2026-01-06T19:50:18Z,"house,drum and bass","Solotoko",0.774,0.558,1,-5.799,1,0.0421,0.0126,0.00306,0.0619,0.493,127.975,4
spotify:track:6pkSEqfTFyoqaPXQ1d4nLp,"Bring Me To Life","Bring Me To Life","Tiësto;FORS",2025-11-21,258461,67,false,insomniac_events,2026-01-06T19:50:18Z,"edm,trance,big room,house","Atlantic Records",0.588,0.77,5,-4.75,1,0.051,0.000839,0.421,0.082,0.234,130.015,4
spotify:track:5JZnjM9ijpit0d5zjT8MM7,"Satisfaction","Hypnotica","Benny Benassi;The Biz",2003,285413,60,false,insomniac_events,2026-01-06T19:50:18Z,"electro house","Ultra Records, LLC",0.802,0.725,11,-3.392,1,0.102,0.165,0.0984,0.0782,0.347,129.984,4
spotify:track:60wwxj6Dd9NJlirf84wr2c,"Clarity","Clarity","Zedd;Foxes",2012-01-01,271426,80,false,insomniac_events,2026-01-06T19:50:18Z,"edm","Interscope",0.509,0.781,8,-3.48,1,0.072,0.0398,0,0.0749,0.176,128,4
spotify:track:6r7FXNO57mlZCBY6PXcZZT,"Five Hours","Five Hours","Deorro",2014-10-14,326887,64,false,insomniac_events,2026-01-06T19:50:18Z,"melbourne bounce,electro house","Ultra Records, LLC",0.88,0.821,5,-2.545,0,0.118,0.0197,0.661,0.234,0.575,127.907,4
spotify:track:3wo3d0I5H8KjkwGvnz8WbB,"Somedays","Somedays","Sonny Fodera;Jazzy;D.O.D",2024-07-26,207168,74,false,insomniac_events,2026-01-06T19:50:18Z,"house","Solotoko",0.671,0.753,4,-6.045,0,0.0298,0.019,0.0000129,0.177,0.543,127.926,4
spotify:track:4yA3q8B64cpYT7M37RxKVu,"Torn Clouds","Torn Clouds","Bart Skils;Weska",2025-06-27,241804,39,false,insomniac_events,2026-01-06T19:50:18Z,"techno,minimal techno,melodic techno,acid techno","Drumcode",0.744,0.673,0,-7.375,1,0.0544,0.000514,0.894,0.118,0.425,133.001,4
spotify:track:4xzB1VGEUk0yqbR3ymosQd,"Paradise","Paradise","HI-LO;DANNY AVILA",2024-02-16,163147,55,false,insomniac_events,2026-01-06T19:50:18Z,"techno,future house,house,acid techno","Hilomatik",0.576,0.996,10,-3.605,0,0.0558,0.0133,0.89,0.183,0.209,133,4
spotify:track:3pXKGIgJ9tLCDIplmLdGHj,"Eyes On Me","Eyes On Me","Nicole Moudaber;Space 92",2025-11-07,218978,59,false,insomniac_events,2026-01-06T19:50:18Z,"techno,tech house,minimal techno,acid techno,hard techno,tekno","TAKEOFF",0.632,0.998,0,-2.4,1,0.0965,0.00883,0.721,0.0832,0.0685,136.99,4
spotify:track:7nsd1DNX2HrZQEDPdTSMQg,"YKSI","YKSI","Bart Skils;Heerhorst",2025-04-25,233059,50,false,insomniac_events,2026-01-06T19:50:18Z,"techno,minimal techno,melodic techno,acid techno","Factory 93 Records",0.651,0.981,0,-5.861,1,0.049,0.0213,0.902,0.112,0.392,133.978,4
spotify:track:3k5VWLIsJQFYrJvIrNLLvK,"Stone Cold Eyes","Weightless","it's murph;Emi Grace",2025-12-05,241841,61,false,insomniac_events,2026-01-06T19:50:18Z,"stutter house,house","Sonic Café",0.653,0.904,7,-4.852,1,0.163,0.125,0.00189,0.1,0.148,131.993,4
spotify:track:1Siu5Bnrt90vtjUddXeTUg,"Slow Burner","Slow Burner","Interplanetary Criminal;Original Koffee",2025-05-30,212647,61,false,insomniac_events,2026-01-06T19:50:18Z,"uk garage,breakbeat,dancehall,afrobeats,reggae","Room Two Recordings",0.657,0.919,7,-5.652,1,0.0421,0.0177,0.0583,0.353,0.763,136.003,4
spotify:track:4sMR8fuTzbUyzB0asxifV0,"Desire","Desire","Ian Asher;Olly Alexander (Years & Years)",2025-07-25,158840,82,false,insomniac_events,2026-01-06T19:50:18Z,"","Easier Said",0.685,0.89,0,-5.51,1,0.0376,0.014,0.311,0.113,0.247,137.985,4
spotify:track:0oIXdXKTV3vy7PWmZUDIZ4,"Sierra","Sierra","Leondis;Butler;Z3LLA",2025-01-10,149142,23,false,insomniac_events,2026-01-06T19:50:18Z,"stutter house","Lost In Dreams Records",0.48,0.869,1,-3.706,1,0.0811,0.00446,0.0000914,0.278,0.148,139.846,4
spotify:track:7cRN38N0djEeO6YDFAtHrc,"Before I Go","Before I Go","Trivecta;vanru",2025-11-20,156000,40,false,insomniac_events,2026-01-06T19:50:18Z,"melodic bass,future bass,dubstep,edm,chillstep,stutter house","Monstercat",0.556,0.873,10,-3.042,1,0.123,0.0839,0,0.189,0.169,140.005,4
spotify:track:5cb2SwLzmjykYpU3VlHWei,"Lightspeed","Lightspeed","Conrad.",2024-06-13,190344,31,false,insomniac_events,2026-01-06T19:50:18Z,"stutter house","Lost In Dreams Records",0.763,0.844,2,-2.652,1,0.0753,0.0145,0.00621,0.154,0.613,143.974,4
spotify:track:6r7b1UHvO3fBZe7wBXWTaZ,"Black Out Days (Stay Away)","Black Out Days (Stay Away)","Ian Asher;Phantogram",2025-08-15,172661,78,false,insomniac_events,2026-01-06T19:50:18Z,"","Universal Records",0.585,0.759,6,-5.133,0,0.0371,0.0177,0.857,0.277,0.127,154.949,4
spotify:track:4oWWPAVhpHsnExgFuFDM6j,"Crashing Down","Heartstrings","Hoang;raph",2025-01-31,181012,39,false,insomniac_events,2026-01-06T19:50:18Z,"melodic bass,future bass,edm","Lost In Dreams Records",0.478,0.797,8,-3.527,1,0.0391,0.334,0.00000245,0.204,0.348,144.926,4
spotify:track:1sxRyDzJYBkPNdhkGLvKij,"headrush","headrush","Łaszewo;AVELLO",2025-12-26,182071,56,false,insomniac_events,2026-01-06T19:50:18Z,"stutter house,melodic bass","Lost In Dreams Records",0.642,0.654,0,-7.928,1,0.161,0.513,0.0000506,0.0674,0.658,133.58,4
spotify:track:6cmYMueidIP3Q2vLDrJWrv,"Broken Hearted (feat. Julia Church)","Broken Hearted (feat. Julia Church)","SLANDER;San Holo;Julia Church",2025-07-02,212276,49,false,insomniac_events,2026-01-06T19:50:18Z,"melodic bass,future bass,edm,dubstep","Heaven Sent",0.512,0.624,5,-3.908,1,0.0397,0.0432,0,0.757,0.35,144.908,4
