Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6cq5CiTm239TeNEE6YjqfE,"Butterflies","Butterflies","Skrillex;Starrah;Four Tet",2021-05-10,195937,42,false,127594937,2025-12-04T18:17:51Z,"dubstep,edm,electro,electronic,idm,electronica","OWSLA/Atlantic",0.684,0.921,2,-5.836,0,0.0479,0.00579,0.00624,0.259,0.31,128.018,4
spotify:track:6VRhkROS2SZHGlp0pxndbJ,"Bangarang (feat. Sirah)","Bangarang EP","Skrillex;Sirah",2011-12-27,215253,70,true,127594937,2025-12-04T18:17:51Z,"dubstep,edm,electro,electronic","Big Beat Records/Atlantic",0.716,0.972,7,-2.302,1,0.196,0.0145,0.0000322,0.317,0.576,110.026,4
spotify:track:4wteGC0HtLeZWjDcczc4Pw,"RATATA","Quest For Fire","Skrillex;Missy Elliott;Mr. Oizo",2023-02-17,126774,64,false,127594937,2025-12-04T18:17:51Z,"dubstep,edm,electro,electronic,hip hop,french house","OWSLA/Atlantic",0.9,0.827,9,-5.159,1,0.0611,0.00872,0,0.304,0.509,123.96,4
spotify:track:7hU38LHqMSPFrvoqADFJp4,"Chicken Soup","HOWSLA","Skrillex;Habstrakt",2017-05-05,207292,49,false,127594937,2025-12-04T18:17:51Z,"dubstep,edm,electro,electronic,bass house,g-house,bassline","OWSLA",0.823,0.815,11,-3.947,1,0.134,0.00129,0.0494,0.599,0.474,125.989,4
spotify:track:57Xjny5yNzAcsxnusKmAfA,"Reptilia","Room On Fire","The Strokes",2003-10-28,219826,75,false,127594937,2025-12-04T18:17:51Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.489,0.649,9,-5.11,1,0.0336,0.000603,0.713,0.101,0.77,158.009,4
spotify:track:4fPBB44eDH71YohayI4eKV,"You Only Live Once","First Impressions Of Earth","The Strokes",2006-01-03,189226,70,false,127594937,2025-12-04T18:17:51Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.63,0.908,11,-2.42,1,0.0326,0.0238,0.592,0.116,0.968,120.522,4
spotify:track:5ruzrDWcT0vuJIOMW7gMnW,"The Adults Are Talking","The New Abnormal","The Strokes",2020-04-10,309053,81,false,127594937,2025-12-04T18:17:51Z,"garage rock,indie rock,alternative rock","Cult Records/RCA Records",0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,4
spotify:track:6u0x5ad9ewHvs3z6u9Oe3c,"Under Cover of Darkness","Angles","The Strokes",2011-03-21,235546,66,false,127594937,2025-12-04T18:17:51Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.35,0.775,11,-3.364,1,0.054,0.00433,0.283,0.0676,0.588,199.866,4
spotify:track:6CGMZijOAZvTXG21T8t6R0,"Innerbloom","Bloom","RÜFÜS DU SOL",2016-01-22,578040,77,false,127594937,2025-12-04T18:17:51Z,"","Sweat It Out",0.729,0.72,3,-6.692,1,0.037,0.126,0.347,0.178,0.0389,122.011,4
spotify:track:2ouFrmMwYik8nQX2n9SeZu,"On My Knees","Surrender","RÜFÜS DU SOL",2021-10-21,261001,75,false,127594937,2025-12-04T18:17:51Z,"","Rose Avenue/Reprise",0.683,0.571,1,-7.721,1,0.0286,0.0335,0.0616,0.0957,0.29,120.044,4
spotify:track:3B8Tx2eKzZ1u6bPnozOL1h,"Treat You Better","SOLACE","RÜFÜS DU SOL",2018-10-19,273640,59,false,127594937,2025-12-04T18:17:51Z,"","Rose Avenue/Reprise",0.599,0.539,8,-5.897,1,0.034,0.356,0.00000538,0.102,0.188,121.947,4
spotify:track:0PHWXLXOQXGlyUGq7woVFZ,"Sundream","Atlas (Light / Dark Deluxe Edition)","RÜFÜS DU SOL",2013,275493,56,false,127594937,2025-12-04T18:17:51Z,"","Sweat It Out",0.681,0.712,5,-7.58,0,0.0388,0.049,0.0042,0.368,0.246,121.996,4
spotify:track:4O2rRsoSPb5aN7N3tG6Y3v,"Northern Attitude","Stick Season","Noah Kahan",2022-10-14,267256,81,true,127594937,2025-12-04T18:17:51Z,"","Mercury Records/Republic Records",0.523,0.626,3,-8.214,1,0.047,0.119,0.0000329,0.107,0.323,121.291,4
spotify:track:4nHJcUtNSUVjXRnjdP29Bk,"You’re Gonna Go Far","Stick Season (We'll All Be Here Forever)","Noah Kahan",2023-06-09,286369,81,true,127594937,2025-12-04T18:17:51Z,"","Mercury Records/Republic Records",0.586,0.358,7,-9.761,1,0.0308,0.556,0,0.11,0.365,169.925,4
spotify:track:0caJ2wkqp4UmXBwdR2JvB5,"Dial Drunk","Stick Season (We'll All Be Here Forever)","Noah Kahan",2023-06-09,213817,69,true,127594937,2025-12-04T18:17:51Z,"","Mercury Records/Republic Records",0.698,0.59,8,-7.596,1,0.0299,0.0875,0,0.115,0.628,112.083,4
spotify:track:07UFnnK3uPIuKv5Rs9TmXl,"Orange Juice","Stick Season","Noah Kahan",2022-10-14,297103,78,false,127594937,2025-12-04T18:17:51Z,"","Mercury Records/Republic Records",0.662,0.378,9,-10.908,1,0.0361,0.475,0.00000684,0.121,0.207,120.133,4
spotify:track:4zTVDxD5KpLjrSAiLcxl4b,"Infinite","Rainbow Brain","GRiZ",2021-07-23,217600,48,false,127594937,2025-12-04T18:17:51Z,"dubstep,edm","GRiZ LLC",0.394,0.895,5,-1.79,1,0.0441,0.00471,0.429,0.491,0.204,149.718,4
spotify:track:4dfh6L1u0NriNBaOrv0oZ4,"Gonna Get Funky","Bangers[4].Zip","GRiZ",2019-11-15,210967,0,false,127594937,2025-12-04T18:17:51Z,"dubstep,edm","GRIZ TWO",0.703,0.889,1,-5.544,1,0.0525,0.00919,0.257,0.0716,0.827,123.961,4
spotify:track:6OTClxme7EYRZGO6An3SMc,"Griztronics","Bangers[2].Zip","GRiZ;Subtronics",2019-08-14,198400,57,true,127594937,2025-12-04T18:17:51Z,"dubstep,edm,riddim,deathstep,bass music,dub","Deadbeats",0.607,0.941,11,-3.807,0,0.481,0.037,0.0137,0.321,0.521,75.401,4
spotify:track:0kshHISCRGn9MwpkbqafG4,"BIRDS","NEVER ENOUGH","Turnstile",2025-06-06,146933,66,false,127594937,2025-12-04T18:17:51Z,"hardcore punk,hardcore","Roadrunner Records",0.415,0.957,0,-4.935,1,0.141,0.00285,0.00418,0.0868,0.0455,119.917,4
spotify:track:3zQpWQCDm9QMDaAhe4ggoO,"T.L.C. (TURNSTILE LOVE CONNECTION)","GLOW ON","Turnstile",2021-08-27,102804,53,false,127594937,2025-12-04T18:17:51Z,"hardcore punk,hardcore","Roadrunner Records",0.415,0.957,9,-6.087,1,0.107,0.0108,0.0147,0.0945,0.322,129.892,4
spotify:track:0bGImSqDB2ebdeoCidUC8o,"BLACKOUT","GLOW ON","Turnstile",2021-08-27,173279,65,false,127594937,2025-12-04T18:17:51Z,"hardcore punk,hardcore","Roadrunner Records",0.301,0.807,6,-6.258,1,0.0695,0.000881,0.112,0.0849,0.595,84.051,4
spotify:track:17phhZDn6oGtzMe56NuWvj,"Lose Control","I've Tried Everything But Therapy (Part 1)","Teddy Swims",2023-09-15,210688,88,false,127594937,2025-12-04T18:17:51Z,"","Warner Records",0.561,0.604,9,-4.409,1,0.0337,0.199,0.000019,0.104,0.242,159.92,3
