Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:787Y2idwCU2Rk60Prv4wpr,"Saving Up","Saving Up","Dom Dolla",2023-10-06,207514,68,false,fngrscrssd,2025-12-05T16:27:08Z,"house,tech house","Three Six Zero Recordings/Columbia Records",0.747,0.822,3,-6.373,0,0.0721,0.00353,0.132,0.165,0.578,129.994,4
spotify:track:2aAjWdZ7TsQYvyRUzAFXmB,"Young Forever","Young Forever","Amelie Lens",2025-10-17,227091,57,false,fngrscrssd,2025-12-05T15:50:13Z,"techno,acid techno,hard techno,tekno","Sony Music",0.555,0.902,9,-6.317,0,0.129,0.00127,0.469,0.0945,0.289,148.02,4
spotify:track:4scUsV40AYlpiXCb4s7UnN,"On Off","On Off / Fast Forward","Cirez D",2009-07-06,547064,40,false,fngrscrssd,2025-12-05T15:52:05Z,"techno","MOUSEVILLE RECORDS",0.797,0.713,4,-10.521,1,0.0533,0.00025,0.877,0.109,0.139,127.981,4
spotify:track:0TaDQnUX1RjbCv3liKFqWP,"Mind Dimension - Ben Sterling Remix","Mind Dimension 2022 (Ben Sterling Remix)","Tiga;Ben Sterling",2022-05-13,330459,44,false,fngrscrssd,2025-12-05T15:50:32Z,"electroclash,tech house","Different Recordings",0.801,0.734,4,-11.408,0,0.053,0.0000296,0.926,0.0765,0.117,128.002,4
spotify:track:59Omhh3MqpuvUXvVoRdiBH,"Do You","Do You EP","Vintage Culture",2025-07-25,221769,47,false,fngrscrssd,2025-12-05T15:56:43Z,"brazilian bass,electronic,electro","Diynamic Music",0.75,0.974,1,-6.473,1,0.054,0.000208,0.804,0.134,0.767,129.992,4
spotify:track:6jQJKutPT5MicGc9jvgFhu,"Mystical Energy","Mystical Energy EP","Alignment",2025-04-24,320093,45,false,fngrscrssd,2025-12-05T15:49:37Z,"hard techno,techno,acid techno,tekno","KNTXT",0.615,0.966,9,-5.548,0,0.0966,0.00339,0.663,0.29,0.315,74.998,4
spotify:track:0ldxSxecXt4pyOauTVkVZs,"Belong To You","Moments","Cut Copy;Kate Bollinger",2025-09-05,270549,41,false,fngrscrssd,2025-12-05T15:53:23Z,"alternative dance,indie dance,indie electronic,new rave","Cutters Records",0.741,0.476,1,-7.531,1,0.0346,0.0075,0.041,0.118,0.845,123.999,4
spotify:track:57508shL0obX0KUOUL8CJk,"Make Me - Franky Rizardo Remix","Make Me (Franky Rizardo Remix)","Borai & Denham Audio;Franky Rizardo",2023-12-15,195692,64,false,fngrscrssd,2025-12-05T16:25:52Z,"house,tech house","Room Two Recordings",0.686,0.727,6,-8.071,1,0.0417,0.00026,0.00659,0.0622,0.606,129.973,4
spotify:track:7HteYyRZRV9g97Jklwvtzr,"Devices","Infinite Health","Tycho",2024-08-30,310560,41,false,fngrscrssd,2025-12-05T15:57:35Z,"chillwave,downtempo,idm","Mom+Pop Music",0.687,0.851,4,-6.173,1,0.0291,0.354,0.934,0.117,0.396,124.984,4
spotify:track:0aDKvLIttZfWCA0zFjVn92,"A Place You Wanna Go (Good Life)","A Place You Wanna Go (Good Life)","bullet tooth",2025-10-03,184791,56,false,fngrscrssd,2025-12-05T15:51:45Z,"uk garage,bassline,hard house","Positiva",0.781,0.868,11,-7.504,0,0.0844,0.0084,0.195,0.342,0.408,132.006,4
spotify:track:6p6VOJkNzxNIVG1bzrJ5lg,"Makes Me Wanna Dance","Interior","Zimmer90",2025-09-19,161643,47,false,fngrscrssd,2025-12-05T15:55:24Z,"","Interior Records / Bamboo Artists",0.731,0.656,8,-9.718,1,0.0332,0.44,0.0746,0.116,0.688,121.993,4
spotify:track:2X0olKzcnLX2v6lN2sP40V,"Green Light Go","Monkeytown","Modeselektor;PVT",2011-09-30,289866,21,false,fngrscrssd,2026-02-11T19:42:51Z,"idm,post-rock","Monkeytown Records",0.655,0.507,0,-10.689,1,0.0323,0.174,0.587,0.122,0.0698,131.991,4
spotify:track:0hlddFDTZxC81BMFC2WINw,"Enjoy Your Life","Eternal Reverie","TOKiMONSTA;Oby Onyioha",2025-03-07,214921,48,false,fngrscrssd,2025-12-05T15:58:20Z,"disco","Young Art Records",0.701,0.957,1,-4.284,1,0.0622,0.0324,0.16,0.409,0.31,125.027,4
spotify:track:3pXKGIgJ9tLCDIplmLdGHj,"Eyes On Me","Eyes On Me","Nicole Moudaber;Space 92",2025-11-07,218978,59,false,fngrscrssd,2025-12-05T16:00:14Z,"techno,tech house,minimal techno,acid techno,hard techno,tekno","TAKEOFF",0.632,0.998,0,-2.4,1,0.0965,0.00883,0.721,0.0832,0.0685,136.99,4
spotify:track:1atQBPo7bjrx3JD3mrU30g,"Another Life","Another Life EP","Obskür",2025-02-28,220312,44,false,fngrscrssd,2025-12-05T16:14:21Z,"rally house,house","neXup recz",0.719,0.662,0,-10.843,1,0.0432,0.068,0.912,0.0839,0.169,133.985,4
spotify:track:29RfmhkmNDnfiI8Mtiwz1E,"SHOOT TO KILL","SHOOT TO KILL","t e s t p r e s s;Franck",2024-11-29,176064,25,false,fngrscrssd,2025-12-05T16:26:14Z,"hard house,bounce,eurodance,trance,hypertechno,hard techno,techno,acid techno","Polyamor Records",0.689,0.977,5,-5.44,0,0.0515,0.00559,0.658,0.372,0.672,154.982,4
spotify:track:2BMhaksbPZEVPUx4U98WgK,"Childish","Childish","Lane 8",2024-09-27,290322,47,false,fngrscrssd,2025-12-05T16:19:42Z,"melodic house,progressive house,deep house","This Never Happened",0.555,0.729,10,-9.798,1,0.0335,0.151,0.867,0.117,0.157,124.011,4
spotify:track:5LUQvjQlixLWlBSZHSVLkk,"Glow","Glow / On Off (Sébastien Léger Remix)","Cirez D",2010-02-04,557828,41,false,fngrscrssd,2025-12-05T15:52:12Z,"techno","MOUSEVILLE RECORDS",0.786,0.837,3,-9.328,1,0.0572,0.0526,0.884,0.637,0.138,128.008,4
spotify:track:4nCO6fJEjqZv7OJzV7LBEd,"The Clown's Corridor","The Clown's Corridor","Brunello;Connan",2024-08-30,351967,46,false,fngrscrssd,2025-12-05T15:51:07Z,"indie dance,arabic hip hop","Mellow Circus Records",0.813,0.631,0,-7.976,1,0.124,0.00179,0.9,0.114,0.523,127.01,4
spotify:track:1SsJIxcxabaezqkuWstX2M,"Let It Go","Let It Go","Louie Vega;The Martinez Brothers;Marc E. Bassy",2020-07-10,204226,47,false,fngrscrssd,2025-12-05T15:58:55Z,"latin house,deep house,disco house,chicago house,funky house,house,tech house","Defected Records",0.797,0.781,10,-8.549,0,0.116,0.0527,0.135,0.0889,0.814,129.985,4
spotify:track:2W9NLQFO28YMUju9BoxJAV,"Stone Cold Eyes","Stone Cold Eyes","it's murph;Emi Grace",2025-09-05,241841,49,false,fngrscrssd,2025-12-05T16:23:48Z,"stutter house,house","Sonic Café",0.653,0.904,7,-4.852,1,0.163,0.125,0.00189,0.1,0.148,131.993,4
spotify:track:5YPnP3rDlN6ZZuBFm4qLKw,"Nero","HARD POP VOL. 2","Deborah de Luca",2025-03-21,339310,51,false,fngrscrssd,2025-12-05T15:54:54Z,"techno,acid techno,hard techno,tekno","Smilax Records",0.541,0.997,2,-5.569,1,0.0837,0.00275,0.852,0.0865,0.0379,144.967,4
spotify:track:2KACAvaQDUjBIBajZcgtSg,"Blink And You'll Miss A Revolution","Blink And You'll Miss A Revolution","Cut Copy",2011-01-01,256653,4,false,fngrscrssd,2026-02-11T19:42:38Z,"alternative dance,indie dance,indie electronic,new rave","Universal Music Australia Pty. Ltd.",0.64,0.717,8,-5.688,1,0.0317,0.000175,0.0229,0.163,0.69,117.948,4
spotify:track:02E8qv06f7gm7q1tontVZh,"4 am","SEKTION 4","Clara Cuvé",2024-07-08,251364,41,false,fngrscrssd,2025-12-05T15:52:32Z,"hard techno,acid techno,techno","44 LABEL GROUP",0.535,0.989,4,-5.674,1,0.072,0.00218,0.588,0.13,0.373,155.02,4
spotify:track:3o7jpoacI4FX1SlSdsOT2g,"Disco Nap","Disco Nap","Polo & Pan;Metronomy",2025-01-10,193226,43,false,fngrscrssd,2025-12-05T16:05:03Z,"french indie pop,french house,new rave,alternative dance","Universal Music Division Virgin Records Distribution Deal",0.713,0.603,0,-5.918,0,0.0435,0.0677,0.144,0.0655,0.936,116.017,4
spotify:track:2vxsdAnntt6eGZJJRaLBF6,"palm of my hands - Odd Mob Remix","palm of my hands (Odd Mob Remix)","John Summit;Odd Mob;venbee",2024-11-08,203636,63,true,fngrscrssd,2025-12-05T16:12:09Z,"house,tech house,bass house,drum and bass,liquid funk","Experts Only/Darkroom Records",0.823,0.908,10,-4.07,0,0.0526,0.00273,0.0838,0.0754,0.554,132.013,4
spotify:track:24ZahOwPra9cPxv6RO1G1R,"Bring It Back","Bring It Back","Pegassi",2025-10-17,228226,52,false,fngrscrssd,2025-12-05T16:05:30Z,"hard house,trance,techno,eurodance,hypertechno,bounce","Live From Earth",0.751,0.989,4,-3.811,0,0.0461,0.003,0.845,0.177,0.533,145.003,4
spotify:track:2o04z6k2tjf2eaFVNQ44dj,"Stylin'","Stylin'","Club Angel",2023-09-13,224571,52,false,fngrscrssd,2026-01-20T18:17:04Z,"uk garage,hard house,bassline","Astral People Recordings",0.704,0.949,9,-7.227,1,0.0758,0.0115,0.844,0.221,0.962,140.013,4
spotify:track:6QWqy98sVOhrj00laLuhGb,"pressure","all my exes live in brooklyn","jigitz",2025-07-25,161586,51,false,fngrscrssd,2025-12-05T16:21:33Z,"stutter house","R&R Digital",0.624,0.654,9,-6.209,1,0.0487,0.0541,0.23,0.118,0.33,140.007,4
spotify:track:3BXDXkRqdIMN7wDnhbexvh,"Give You My Luv","Give You My Luv","Shermanology",2025-11-21,204094,37,false,fngrscrssd,2025-12-05T16:02:47Z,"tech house,house","D'EAUPE",0.701,0.685,6,-9.738,0,0.0669,0.024,0.000909,0.103,0.607,126.956,4
spotify:track:1Ze3yn5gQ2T8gcV0GJFXzt,"TA TA TA","TA TA TA","Deborah de Luca",2025-09-05,364137,40,false,fngrscrssd,2025-12-05T15:54:30Z,"techno,acid techno,hard techno,tekno","Solamente",0.664,0.977,1,-4.98,0,0.0504,0.000279,0.821,0.115,0.153,144.987,4
