Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6fpwtsLQwN6CcJIyaSYosE,"Light You Up ft. CREG","Light You Up ft. CREG","GRiZ;Tape B;CREG",2025-11-14,188571,54,true,0iii36impc37i3fybujjae8g6,2025-12-08T21:30:56Z,"dubstep,edm,riddim,bass music","GRiZ LLC",0.616,0.936,2,-2.15,0,0.0377,0.00146,0.643,0.101,0.0738,139.985,4
spotify:track:10jXicWLj7TM7Ny7eTZgdP,"Deep Clear Water","Deep Clear Water","Gryffin;GRiZ",2025-09-12,199651,53,false,0iii36impc37i3fybujjae8g6,2025-12-08T21:31:02Z,"edm,melodic bass,future bass,dubstep","Gryffin LLC",0.505,0.838,9,-2.916,1,0.0858,0.0169,0.000135,0.121,0.144,149.925,4
spotify:track:4uPfavkzDSlppPTJD5TdxS,"Vibe Check","Rainbow Brain","GRiZ",2021-07-23,169600,53,true,0iii36impc37i3fybujjae8g6,2025-12-08T21:31:12Z,"dubstep,edm","GRiZ LLC",0.735,0.946,0,-0.751,1,0.145,0.0176,0.00476,0.313,0.391,149.914,4
spotify:track:7wIUsOxSKHeILRmH8P47A6,"Rainbow Brain","Rainbow Brain","GRiZ;ProbCause;Chrishira Perrier",2021-07-23,261428,33,true,0iii36impc37i3fybujjae8g6,2025-12-08T21:31:22Z,"dubstep,edm","GRiZ LLC",0.659,0.957,1,-3.23,1,0.106,0.00272,0.00199,0.223,0.692,140.067,4
spotify:track:5dAtKXyrQoQW054LZqJ5dP,"Feel Something (With I Prevail)","Feel Something (With I Prevail)","ILLENIUM;Excision;I Prevail",2020-04-03,221000,59,false,0iii36impc37i3fybujjae8g6,2025-12-08T21:31:34Z,"melodic bass,future bass,edm,dubstep,riddim,deathstep,dub,bass music,metalcore,metal","Astralwerks",0.428,0.877,5,-4.722,0,0.0835,0.00153,0.00372,0.0943,0.113,75.518,4
spotify:track:5FQ5Ijl6HQsJYD6QaZseFo,"Bonebreaker","Bonebreaker","Excision;Sullivan King;Kai Wachi",2025-09-17,180800,54,true,0iii36impc37i3fybujjae8g6,2025-12-08T21:31:37Z,"dubstep,riddim,deathstep,edm,dub,melodic bass,bass music","Subsidia",0.6,0.979,2,-0.055,1,0.152,0.0117,0.0969,0.294,0.373,149.893,4
spotify:track:0tsq2ep6prmyRMEI1niqZv,"Adrenaline","Adrenaline","Excision;Sullivan King;From Ashes to New",2025-11-07,155586,48,false,0iii36impc37i3fybujjae8g6,2025-12-08T21:31:40Z,"dubstep,riddim,deathstep,edm,dub,melodic bass,bass music,rap rock,rap metal,metalcore","Subsidia",0.493,0.989,10,-1.02,1,0.414,0.000228,0.0172,0.117,0.0699,144.972,4
spotify:track:5AZJbQwaYGHWCY53k7fO57,"Zombie (feat. Valerie Broussard)","Zombie (feat. Valerie Broussard)","ILLENIUM;Excision;Wooli;Valerie Broussard",2023-10-27,284643,53,false,0iii36impc37i3fybujjae8g6,2025-12-08T21:31:44Z,"melodic bass,future bass,edm,dubstep,riddim,deathstep,dub,bass music","Warner Records",0.302,0.817,4,-3.493,0,0.0863,0.00354,0.00000477,0.097,0.0538,157.084,4
spotify:track:2Mbo5NxUBF3dMsTLUxhSwO,"One Of These Mornings","Return to the Spectrum of Intergalactic Happiness","Zeds Dead",2025-03-07,191428,52,false,0iii36impc37i3fybujjae8g6,2025-12-08T21:32:02Z,"dubstep,edm","Deadbeats",0.407,0.612,7,-6.321,0,0.0367,0.0192,0.918,0.0815,0.0381,126.102,4
spotify:track:03n8agvwPPaxTSNIAMPPfz,"Sweet Memories","Return to the Spectrum of Intergalactic Happiness","Zeds Dead",2025-03-07,235688,50,false,0iii36impc37i3fybujjae8g6,2025-12-08T21:32:08Z,"dubstep,edm","Deadbeats",0.519,0.645,8,-6.506,0,0.0511,0.0594,0.337,0.368,0.0646,83.42,4
