Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:19jUiyqdFejIPFxyNHgMoy,"Everyone’s Your Friend","Everyone’s Your Friend","OMNOM;Marco Strous",2025-05-23,152686,45,false,uhwo1f8cbuevqodabqih9815p,2025-05-27T21:07:12Z,"bass house,tech house","Insomniac Records",0.718,0.916,11,-3.979,0,0.134,0.00703,0.194,0.337,0.556,133.985,4
spotify:track:0FXEclPDVfUNHYDiyAPXYP,"Drop In","Drop In","Mary Droppinz",2025-04-16,149793,47,false,uhwo1f8cbuevqodabqih9815p,2025-05-27T21:07:12Z,"uk garage","Deadbeats",0.757,0.55,8,-7.935,0,0.0496,0.0646,0.0334,0.111,0.379,144.961,4
spotify:track:6evSxq4h3VyxaPPz8udIhX,"That's the Spot","That's the Spot","OMNOM;Sven Lochenhoer",2024-11-22,182769,42,true,uhwo1f8cbuevqodabqih9815p,2025-05-27T21:07:12Z,"bass house,tech house","Sweat It Out",0.721,0.891,2,-5.306,1,0.0408,0.00122,0.0666,0.0378,0.382,129.999,4
spotify:track:4wpp7iSPubfCoCFmXkSeuV,"Party Up (feat. YG) - Krafty Kuts Remix","Party Up (feat. YG) [Krafty Kuts Remix]","Destructo;YG;Krafty Kuts",2024-09-20,220952,12,true,uhwo1f8cbuevqodabqih9815p,2025-05-27T21:06:24Z,"g-house,bass house,breakbeat,big beat","All My Friends",0.73,0.987,11,-4.235,0,0.0593,0.0226,0.619,0.168,0.345,126.029,4
spotify:track:4iBH3ryQUmNpz6L07IJRJt,"The Right Way","The Right Way","Mark Farina;Homero Espinosa",2025-04-18,152195,11,false,uhwo1f8cbuevqodabqih9815p,2025-05-27T21:06:24Z,"chicago house,jazz house,funky house","Moulton Music",0.811,0.845,6,-7.32,1,0.0673,0.0021,0.0447,0.12,0.791,123.002,4
spotify:track:7mljLtbTR0ZM3YHLhiw0MP,"Take My Love","Take My Love","Murphy's Law (UK);Kyle Walker",2025-04-25,183750,32,false,uhwo1f8cbuevqodabqih9815p,2025-05-27T21:06:24Z,"tech house,house","PIV",0.824,0.73,11,-8.628,0,0.0472,0.0213,0.00808,0.0515,0.699,128.008,4
spotify:track:5wHzO3DYsfXyuYniOhHIaH,"Rain in LA","Rain in LA EP","Ranger Trucco",2025-05-15,381818,20,false,uhwo1f8cbuevqodabqih9815p,2025-05-27T21:06:24Z,"tech house","range.",0.726,0.962,11,-7.287,0,0.067,0.00464,0.904,0.0909,0.763,132.059,4
spotify:track:332JvN83BHWikknT8XEFj1,"Que Rico Es! - Short Mix","Que Rico Es!","Black Legend;Yves Eaux",2026-01-02,159999,19,false,uhwo1f8cbuevqodabqih9815p,2026-01-02T15:48:52Z,"organic house,afro tech,progressive house","TOCA! Music",0.672,0.995,10,-6.513,0,0.1,0.0366,0.416,0.344,0.422,126.028,4
spotify:track:2Y2RNy9c5adXcFKxdTEHZI,"Only Eight","Only Eight / Sweet Spot","Josh Butler",2026-01-23,210322,42,false,uhwo1f8cbuevqodabqih9815p,2026-01-23T16:58:52Z,"tech house,deep house,house","Factory 93 Records",0.798,0.892,1,-8.477,1,0.0425,0.000387,0.887,0.124,0.45,127.995,4
spotify:track:5WUNjwfTFuaxM0I0FiTvkm,"La Noche","La Noche","Kenn Colt;El Palma",2026-01-30,154545,12,false,uhwo1f8cbuevqodabqih9815p,2026-02-14T11:35:51Z,"tropical house","Feels Like Home Records",0.698,0.888,6,-7.278,0,0.0565,0.00342,0.307,0.384,0.487,132.044,4
spotify:track:2Q6j60VeDs9gY3O2m67CAu,"Does Ya Momma Know?","Does Ya Momma Know?","RUZE",2026-02-06,171162,42,false,uhwo1f8cbuevqodabqih9815p,2026-02-06T08:04:42Z,"rally house,house,tech house","Factory 93 Records",0.756,0.932,0,-6.057,1,0.0456,0.000324,0.874,0.0943,0.648,129.029,4
spotify:track:53wjLc4Q7Py38dUOQKmF5k,"Something Ancient","Something Ancient","BYAS",2025-06-27,222720,30,false,uhwo1f8cbuevqodabqih9815p,2025-07-24T14:42:28Z,"organic house,melodic techno,melodic house","Vibe Agency",0.778,0.727,6,-10.015,1,0.0455,0.109,0.521,0.104,0.258,124.987,4
spotify:track:3w6Iv7O14Mm1Jxvdvnsa28,"Aro","Aro","Bob In Space;Ohm Collective",2025-08-29,346271,25,false,uhwo1f8cbuevqodabqih9815p,2025-08-29T08:53:44Z,"organic house,afro tech,downtempo,tribal house","Ohm Collective",0.717,0.706,2,-10.595,1,0.0485,0.00427,0.849,0.146,0.229,117.996,4
spotify:track:5HGhHE6pDFoGEepVwRp8fS,"Spiritual","Spiritual","Phantoms;Jem Cooke",2025-06-06,193796,22,false,uhwo1f8cbuevqodabqih9815p,2025-06-24T16:59:48Z,"","Speed Dial Records",0.597,0.817,3,-4.957,0,0.0488,0.00162,0.139,0.149,0.722,130.051,4
spotify:track:114hEVloiFTiAffAsbSwox,"Mama Maria","Mama Maria","Reinier Zonneveld;Bloom Twins",2025-06-06,158387,24,false,uhwo1f8cbuevqodabqih9815p,2025-06-14T08:49:04Z,"techno,acid techno,hard techno,tekno,minimal techno","Armada Music",0.741,0.779,7,-8.497,0,0.114,0.0145,0.128,0.649,0.512,127.961,4
spotify:track:15OhHc5rIKfzPEShc9PDhO,"Dark Matter","Troves, Vol. 1","Justin Martin;Galen",2024-04-12,280426,7,false,uhwo1f8cbuevqodabqih9815p,2025-05-27T21:06:24Z,"","What To Do",0.809,0.869,11,-5.78,0,0.0511,0.00122,0.823,0.0823,0.698,124.994,4
spotify:track:3KpaxblMkNCenhe4eadzbG,"I Haven't Slept In Weeks - OMRI. Remix","I Haven't Slept In Weeks (OMRI. Remix)","Garden City Movement;Sefi Zisling;OMRI.",2025-02-28,259047,12,false,uhwo1f8cbuevqodabqih9815p,2025-05-27T21:06:24Z,"nu jazz,indie dance,tech house","Anova Music",0.802,0.724,10,-10.077,0,0.073,0.0147,0.916,0.0772,0.436,125.988,4
spotify:track:4JGN6REVXS2vR4rZfaMRmE,"I'm Watching You (So Many Times)","I'm Watching You (So Many Times)","ellis;Gadjo",2025-06-20,152498,18,false,uhwo1f8cbuevqodabqih9815p,2025-06-20T14:58:26Z,"future house,house","Armada Music",0.65,0.908,0,-5.323,1,0.285,0.00645,0.0000655,0.189,0.714,130.073,4
spotify:track:0RcjImwPogCOVLpRwMuCM0,"Play Games","Play Games","Tim Hox",2025-06-27,238181,17,false,uhwo1f8cbuevqodabqih9815p,2025-06-27T07:19:00Z,"latin house,tech house,bass house,big room","hey, gimme that aux",0.721,0.894,2,-8.086,1,0.0613,0.00441,0.566,0.36,0.518,131.998,4
spotify:track:0T6N7HbshVqL42SyUydGWW,"Dance!","Dance!","Catz 'n Dogz;Nala",2025-03-14,200930,18,true,uhwo1f8cbuevqodabqih9815p,2025-05-27T21:06:24Z,"tech house,house,indie dance","Pets Recordings",0.649,0.95,10,-6.05,0,0.0466,0.000847,0.672,0.346,0.879,129.012,4
spotify:track:3z0bpEJHdr10XKQnjOx4qS,"Keep Moving","Keep Moving","JSPHN",2025-06-26,142478,9,false,uhwo1f8cbuevqodabqih9815p,2025-06-26T19:36:56Z,"","Made2Dance Records",0.736,0.815,2,-5.835,0,0.0466,0.0067,0.191,0.0952,0.565,125.949,4
spotify:track:0bDZblabVuttCNyyCmEaaI,"Praise Me","Praise Me","Cuezo World",2025-06-16,326000,4,false,uhwo1f8cbuevqodabqih9815p,2025-06-22T15:15:07Z,"","Sun Sound and Video",0.809,0.948,1,-6.16,1,0.0791,0.0123,0.905,0.138,0.762,120.001,4
spotify:track:3s5ydcbdpQMPzX4UlIgkqm,"Dat Swag","Dat Swag","Uberan Mino",2025-05-30,176767,17,false,uhwo1f8cbuevqodabqih9815p,2025-06-26T19:44:08Z,"","Uberan Mino Records",0.756,0.999,9,-3.743,1,0.0859,0.000436,0.347,0.0395,0.918,158.02,4
