Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6zldvnVMC25b4uliSKO9Lz,"Appetite","Appetite","Chris Lorenzo",2025-05-16,227272,65,false,insomniac_events,2026-02-12T18:35:46Z,"bass house,bassline,house,tech house,g-house","Catch & Release",0.76,0.898,0,-5.626,1,0.0689,0.0199,0.796,0.358,0.442,132.002,4
spotify:track:7IoTUnyyvbMEY2UuE2Tmsx,"Make Believe","Make Believe","Luke Dean;Omar+",2025-08-15,185000,64,false,insomniac_events,2026-02-12T18:35:46Z,"house","Insomniac Records",0.789,0.953,6,-6.928,1,0.0526,0.0154,0.146,0.0973,0.801,133.004,4
spotify:track:2nO5YCEAQLPYKLbza7N64Z,"I Look Good","I Look Good","Jackie Hollander;Lizzy Land",2025-02-28,164659,41,false,insomniac_events,2026-02-12T18:35:46Z,"tech house","Insomniac Records",0.592,0.855,6,-6.376,1,0.0585,0.0135,0.517,0.3,0.296,131.957,4
spotify:track:6YOg0daCavgHVBZ3u9hZWc,"Death By Love","Death By Love","Walker & Royce",2025-04-11,170000,42,false,insomniac_events,2026-02-12T18:35:46Z,"tech house,bass house,house","Insomniac Records",0.6,0.891,4,-7.498,1,0.0475,0.0257,0.502,0.295,0.321,133.961,4
spotify:track:0LJeMisvD34COpkt7QFFIO,"Lighter","Lighter","Westend;Darla Jade",2025-10-03,187283,48,false,insomniac_events,2026-02-12T18:35:46Z,"tech house,latin house,house,afro house","Insomniac Records",0.547,0.948,0,-5.69,1,0.0511,0.00292,0.767,0.434,0.131,128.025,4
spotify:track:0v4y0mPJaLyCKOWC5khfmg,"Dancing In The Dark","Dancing In The Dark","Noizu;Annaca",2025-01-24,188307,40,false,insomniac_events,2026-02-12T18:35:46Z,"tech house,house","Insomniac Records",0.575,0.876,9,-5.253,0,0.0308,0.0168,0.00603,0.0771,0.479,130.043,4
spotify:track:1BktkzhQ6rhP1jTREtUdPK,"(It Goes Like) Nanana - Edit","I Hear You","Peggy Gou",2024-06-07,231545,66,false,insomniac_events,2026-02-12T18:35:46Z,"","XL Recordings",0.671,0.876,7,-5.681,0,0.0352,0.12,0.188,0.0823,0.964,129.998,4
spotify:track:1AS1oLvEr6PNsCLnuEUmCi,"Blackberries","Blackberries","FISHER;bbyclose",2025-07-18,121846,69,false,insomniac_events,2026-02-12T18:35:46Z,"tech house,house","Catch & Release",0.816,0.874,11,-6.964,0,0.106,0.00143,0.719,0.114,0.9,129.979,4
spotify:track:2tlulSZdCgI5zQFQKmbjma,"Out Of My Mind","Out Of My Mind","Omar+;Ben Sterling",2026-02-20,177230,0,false,insomniac_events,2026-02-20T18:24:18Z,"house,tech house","Insomniac Records",0.655,0.682,10,-9.444,0,0.0366,0.00259,0.612,0.0731,0.634,130.005,4
spotify:track:2vFabIc6h3F6GiZCsxq8zw,"X-Rated","X-Rated","Cloonee;Funkdoobiest",2025-05-16,184620,63,true,insomniac_events,2026-02-12T18:35:46Z,"tech house,house,latin house,old school hip hop","Epic/Legacy",0.91,0.831,9,-5.489,1,0.257,0.3,0.00293,0.0699,0.704,129.954,4
spotify:track:6Ar3apWGoJLPZ3zy6Eb94F,"Fancy $hit","Fancy $hit","CID;Taylr Renee",2025-09-05,168837,69,true,insomniac_events,2026-02-12T18:35:46Z,"tech house,future house,progressive house","Intercord",0.766,0.977,0,-3.515,1,0.0466,0.101,0.811,0.11,0.864,128.992,4
spotify:track:6wLqNGHQIja6xqT0cfrzBB,"On & On","Feel Again","Armin van Buuren;Punctual;Alika",2023-03-30,170578,64,false,insomniac_events,2026-02-12T18:35:46Z,"trance,progressive trance,progressive house,electronica,edm","Armada Music Albums",0.681,0.933,0,-2.855,1,0.104,0.0221,0.00504,0.266,0.46,128.036,4
spotify:track:5sjvmFMLPjBXDd2XDr9JIm,"My City (feat. Katy Tiz)","My City (feat. Katy Tiz)","Tiësto;Prophecy;Katy Tiz",2024-05-15,151874,45,false,insomniac_events,2026-02-12T18:35:46Z,"edm,trance,big room,house","Insomniac Records",0.668,0.943,2,-3.375,1,0.0498,0.00169,0.548,0.13,0.195,128.011,4
spotify:track:2uHGci4XJywAICJ1D54Xgq,"The Partycrasher","The Partycrasher","Hardwell;Chuckie",2025-12-05,167111,49,false,insomniac_events,2026-02-12T18:35:46Z,"big room,edm,progressive house,electronica,electro house,melbourne bounce","Revealed Recordings",0.68,0.994,7,-3.735,1,0.174,0.00462,0.0461,0.243,0.402,129.977,4
spotify:track:6YiIWuVXS4AqF1KvUGMwyx,"crystallized (feat. Inéz)","crystallized (feat. Inéz)","John Summit;Inéz",2025-09-12,217646,68,false,insomniac_events,2026-02-12T18:35:46Z,"house,tech house","Experts Only/Darkroom Records",0.529,0.857,1,-4.689,1,0.075,0.011,0.0000485,0.126,0.292,128.049,4
spotify:track:60wwxj6Dd9NJlirf84wr2c,"Clarity","Clarity","Zedd;Foxes",2012-01-01,271426,80,false,insomniac_events,2026-02-12T18:35:46Z,"edm","Interscope",0.509,0.781,8,-3.48,1,0.072,0.0398,0,0.0749,0.176,128,4
spotify:track:62N2WA22mOCaxjzLzSxYKI,"Voodoo","ORIGO","Martin Garrix;R3HAB;Skytech",2025-10-24,169326,39,false,insomniac_events,2026-02-12T18:35:46Z,"edm,progressive house,electronica,slap house,big room","STMPD RCRDS",0.604,0.942,1,-3.898,1,0.145,0.00724,0.00811,0.0506,0.229,129.98,4
spotify:track:5qUYWV5N28x6qZHdAcEVNm,"Show Me Love","Show Me Love","Laidback Luke;Steve Angello;Robin S",2009-03-24,184846,63,false,insomniac_events,2026-02-12T18:35:46Z,"big room,electro house,progressive house","BEAT Music Fund",0.653,0.856,5,-4.197,1,0.0638,0.517,0,0.128,0.571,129.955,4
spotify:track:4OYTJSWLgq7okalwAKbEEr,"Parte del Juego","Parte del Juego","Innellea;Peces Raros",2025-10-10,210106,47,false,insomniac_events,2026-02-12T18:35:46Z,"melodic techno,melodic house,techno,progressive house,latin indie","belonging",0.692,0.695,0,-5.233,1,0.035,0.000617,0.549,0.0883,0.646,129.992,4
spotify:track:4ZtqsOdBbS6GoedzzRGSo9,"Breathe","The Fat of the Land","The Prodigy",1997-06-30,336280,56,false,insomniac_events,2026-02-12T18:35:46Z,"big beat,breakbeat,hardcore techno","XL Recordings",0.673,0.808,9,-6.183,1,0.0491,0.0121,0.878,0.037,0.303,130.041,4
spotify:track:1DUpt1ClyNZj3EbBjFtgCD,"DNCR","undux","Kaskade",2025-12-04,187434,55,false,insomniac_events,2026-02-12T18:35:46Z,"edm","Monstercat",0.678,0.829,8,-5.891,1,0.137,0.0349,0.0118,0.308,0.521,132.001,4
spotify:track:1ri3KVVuU7AtImut5NvAaY,"White Wine & Adderall","Breathe","The Chainsmokers;Beau Nox",2025-10-24,178400,42,false,insomniac_events,2026-02-12T18:35:46Z,"","Disruptor Records/Columbia",0.617,0.935,9,-0.999,0,0.0499,0.0157,0.106,0.1,0.308,134.953,4
spotify:track:6KTJrH8rLM4TefZcc9XFQF,"Black Sheep","Black Sheep","ATLiens;GG Magree",2024-09-18,174428,51,false,insomniac_events,2026-02-12T18:35:46Z,"riddim,dubstep,deathstep,bass music,edm,future bass","Monstercat",0.316,0.887,5,-1.85,0,0.0728,0.0382,0.0108,0.102,0.165,140.055,4
spotify:track:3AU0hykNQtcqOX4qpm1k6p,"Itchy Scratchy","Itchy Scratchy","Subtronics",2025-08-08,192857,58,false,insomniac_events,2026-02-12T18:35:46Z,"riddim,dubstep,edm,deathstep,bass music,dub","Cyclops Recordings",0.831,0.927,5,-2.625,0,0.289,0.112,0.00165,0.276,0.446,140.053,4
spotify:track:7oouv30MA1XJGi0PvCosE7,"Light Up","Light Up","Eptic;LYNY",2025-02-26,190285,41,false,insomniac_events,2026-02-12T18:35:46Z,"dubstep,riddim,deathstep,bass music,bass house,dub","Overlord Music",0.629,0.981,8,-2.856,0,0.24,0.119,0.0000342,0.0671,0.606,140.045,4
spotify:track:4DtU9Pd6aqxfwFhQRaERIL,"BLUNT SONG","BLUNT SONG","Cyclops",2025-05-09,151285,45,false,insomniac_events,2026-02-12T18:35:46Z,"riddim,dubstep,deathstep,bass music","Cyclops",0.844,0.775,9,-3.958,1,0.164,0.598,0.0449,0.347,0.317,140.08,4
spotify:track:2EnRHPuwvqcNVOT0Wgseij,"BAD4U","NEKROSIS","Kai Wachi;Julienne By",2025-06-13,152571,44,false,insomniac_events,2026-02-12T18:35:46Z,"dubstep,deathstep,riddim,melodic bass,edm,bass music,stutter house,bass house","Kannibalen Records",0.633,0.984,2,-1.386,1,0.0513,0.00652,0.106,0.297,0.186,139.994,4
