Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4PolqZLqReEqc3yURJtzc4,"Pop Off","Pop Off","GRiZ;Levity",2026-02-11,196056,58,true,hybridtrap,2026-02-11T20:42:31Z,"dubstep,edm","Ultra Records, LLC",0.613,0.945,11,-1.261,0,0.239,0.0485,0.000352,0.6,0.289,141.953,4
spotify:track:5bBsJxig0Ls4USQqIukB6I,"FACEDOWN","FACEDOWN","Kai Wachi;Tisoki",2026-01-30,156800,53,true,hybridtrap,2026-02-02T20:42:16Z,"dubstep,deathstep,riddim,melodic bass,edm,bass music,bass house","Kannibalen Records",0.624,0.994,8,0.578,1,0.0867,0.00306,0.000571,0.125,0.337,150.019,4
spotify:track:1ovE8hhtVD0NXLsZaGWV7n,"FREYA","FREYA","ALAN BAZE",2026-02-13,195000,15,false,hybridtrap,2026-02-18T21:54:51Z,"tech house","IZSOGOOD Music",0.555,0.898,0,-4.511,1,0.0416,0.000288,0.963,0.0773,0.461,127.987,4
spotify:track:0WZomj99qKEzipmSQIQktM,"Jazz Cabbage","Jazz Cabbage","Wooli;Cyclops",2026-02-13,172189,49,false,hybridtrap,2026-02-17T20:02:10Z,"dubstep,melodic bass,riddim,edm,deathstep,future bass,bass music","Wooli Music",0.659,0.943,2,0.128,1,0.133,0.0545,0.0904,0.373,0.452,145.377,3
spotify:track:431KvcIeLTgVEqlz42WzU3,"HORSEPOWER","HORSEPOWER","Nikita, the Wicked;Jkyl & Hyde;CREG",2026-02-13,186666,45,true,hybridtrap,2026-02-17T20:02:10Z,"uk garage,bass music,riddim,dubstep,deathstep","Helix Records",0.694,0.894,4,-2.692,1,0.158,0.00563,0.00163,0.36,0.178,135.13,4
spotify:track:5dAtKXyrQoQW054LZqJ5dP,"Feel Something (With I Prevail)","Feel Something (With I Prevail)","ILLENIUM;Excision;I Prevail",2020-04-03,221000,59,false,hybridtrap,2026-01-21T08:06:47Z,"melodic bass,future bass,edm,dubstep,riddim,deathstep,dub,bass music,metalcore,metal","Astralwerks",0.428,0.877,5,-4.722,0,0.0835,0.00153,0.00372,0.0943,0.113,75.518,4
spotify:track:2NuNzR5GVtL8nkJ0sxfGzs,"Nobody Else (with Kaleena Zanders)","Nobody Else (with Kaleena Zanders)","GRiZ;Kaleena Zanders",2025-12-19,192000,58,false,hybridtrap,2026-02-02T20:26:55Z,"dubstep,edm","GRiZ LLC",0.535,0.911,0,-0.934,1,0.0844,0.0384,0.0000125,0.342,0.209,145.039,4
spotify:track:7E0xvOIQIFyTa3balkUrI5,"Zero","Zero","Devault",2026-02-13,192727,45,false,hybridtrap,2026-02-13T19:41:15Z,"stutter house","Insomniac Records",0.623,0.934,9,-4.074,0,0.0532,0.0521,0.142,0.0904,0.538,131.938,4
spotify:track:0gVlXqAE1HRkbcCDDFzJSg,"More Than A Friend","More Than A Friend","Don Diablo;Bipolar Sunshine",2026-02-13,200028,58,false,hybridtrap,2026-02-13T19:41:15Z,"future house,edm","HEXAGON / TH3RD BRAIN",0.656,0.729,6,-8.438,0,0.0776,0.0318,0.000258,0.126,0.463,132.073,4
spotify:track:7A37RU1vEaC09ZPUS649j2,"Trust Fall","Trust Fall","Kaivon;LSDREAM;Gayle Fuller",2026-01-30,247384,46,false,hybridtrap,2026-02-13T19:41:15Z,"future bass,melodic bass,edm,dubstep,bass music","Trippy Bee Records",0.436,0.77,11,-3.892,0,0.0809,0.266,0.00000282,0.244,0.314,129.304,4
