Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3AU0hykNQtcqOX4qpm1k6p,"Itchy Scratchy","Itchy Scratchy","Subtronics",2025-08-08,192857,58,false,31z2i76hscjdieiqihplba7cnt5y,2025-11-11T19:53:42Z,"riddim,dubstep,edm,deathstep,bass music,dub","Cyclops Recordings",0.831,0.927,5,-2.625,0,0.289,0.112,0.00165,0.276,0.446,140.053,4
spotify:track:06eJJV9q1HieNW8dm9htJt,"Flow","Flow","[IVY]",2025-09-12,182069,43,false,31z2i76hscjdieiqihplba7cnt5y,2025-11-11T19:53:42Z,"drum and bass","Bassrush Records",0.51,0.892,1,-2.938,1,0.0588,0.000104,0.207,0.116,0.155,174.06,4
spotify:track:6KTJrH8rLM4TefZcc9XFQF,"Black Sheep","Black Sheep","ATLiens;GG Magree",2024-09-18,174428,51,false,31z2i76hscjdieiqihplba7cnt5y,2025-11-11T19:53:42Z,"riddim,dubstep,deathstep,bass music,edm,future bass","Monstercat",0.316,0.887,5,-1.85,0,0.0728,0.0382,0.0108,0.102,0.165,140.055,4
spotify:track:1PqolJAHpk7lJH4jXu9ANN,"All I Need","All I Need","Subsonic",2025-10-24,220689,42,false,31z2i76hscjdieiqihplba7cnt5y,2025-11-11T19:53:42Z,"drum and bass,bassline","Bassrush Records",0.464,0.921,7,-4.481,1,0.0487,0.018,0.525,0.212,0.105,174.002,4
spotify:track:4NZQwaea355uSH8eVUdxLj,"WOMP WORLD","WOMP WORLD","Cyclops",2025-03-12,198857,40,false,31z2i76hscjdieiqihplba7cnt5y,2025-11-11T19:53:42Z,"riddim,dubstep,deathstep,bass music","Cyclops",0.68,0.984,1,-0.458,0,0.0595,0.0354,0.75,0.0642,0.652,139.985,3
spotify:track:1P6muy1K5SQBX8F6U6bne6,"Cash Only","Cash Only","sfam;snuffy",2025-10-03,154285,31,false,31z2i76hscjdieiqihplba7cnt5y,2025-11-11T19:53:42Z,"bass music,dubstep,riddim,uk garage","Bassrush Records",0.786,0.647,9,-6.981,1,0.0811,0.127,0.242,0.129,0.24,140.024,4
spotify:track:0bcoPdat6SIiixawZvWNws,"HOOLIGANS","HOOLIGANS","GHENGAR;Izzy Vadim;Ghastly",2025-09-05,127448,47,true,31z2i76hscjdieiqihplba7cnt5y,2025-11-11T19:53:42Z,"riddim,dubstep,deathstep,bass music,bass house,edm","RATED M RECORDS",0.778,0.928,1,-2.411,1,0.363,0.102,0.000165,0.602,0.78,145.066,4
spotify:track:035AtsykJ5xCUq7PWNV16K,"RUTHLESS","Cipher Four","Deathpact",2025-09-26,142741,36,true,31z2i76hscjdieiqihplba7cnt5y,2025-11-11T19:53:42Z,"dubstep,riddim,bass music","Deathpact",0.611,0.976,2,-1.026,1,0.0603,0.000366,0.0129,0.367,0.424,123.882,4
spotify:track:1E6meFZ4yDVstks1aK5SUa,"Lose Control","Lose Control","YDG",2024-11-01,170560,37,false,31z2i76hscjdieiqihplba7cnt5y,2025-11-11T19:53:42Z,"dubstep,riddim","Bassrush Records",0.382,0.965,0,0.652,1,0.256,0.004,0.00134,0.542,0.184,145.368,4
spotify:track:6zBFQ5dWHEmEx2RDoZ1ZP2,"Dominate","Dominate","Space Laces",2021-03-26,234375,42,false,31z2i76hscjdieiqihplba7cnt5y,2025-11-11T19:53:42Z,"dubstep,riddim,deathstep,bass music,bass house,edm,dub","Never Say Die Records",0.632,0.989,8,-1.673,1,0.175,0.00177,0.56,0.547,0.0662,128.004,4
