Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1KuNhOubescxn3xD6WNI7Q,"Do It","DO IT","Stray Kids",2025-11-21,159000,82,false,x22qy6jawnyenv1dtzrpfauql,2026-01-14T16:27:58Z,"k-pop,noise music","Republic Records - Stray Kids",0.766,0.922,2,-4.239,1,0.0611,0.138,0.00000179,0.0911,0.734,105.012,4
spotify:track:15nElWknZsgnSIfVihVCQf,"DIVINE","DO IT","Stray Kids",2025-11-21,187000,80,false,x22qy6jawnyenv1dtzrpfauql,2026-01-14T16:27:58Z,"k-pop,noise music","Republic Records - Stray Kids",0.633,0.858,6,-3.495,0,0.263,0.00798,0,0.245,0.608,98.989,4
spotify:track:09keT5ocFhEd5W5HidiUNq,"Chk Chk Boom","ATE","Stray Kids",2024-07-19,148051,80,false,x22qy6jawnyenv1dtzrpfauql,2026-01-14T16:27:58Z,"k-pop,noise music","Republic Records - Stray Kids",0.925,0.74,2,-2.698,1,0.123,0.166,0,0.0521,0.844,101.994,4
spotify:track:3ZaEs1O8BG581qYPHpQ8d6,"I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino)","I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino)","A$AP Rocky;Imogen Heap;Clams Casino",2023-08-18,190285,83,true,x22qy6jawnyenv1dtzrpfauql,2026-01-14T16:27:58Z,"rap,cloud rap","A$AP Worldwide/RCA Records",0.47,0.652,2,-9.629,1,0.0561,0.0831,0.0000408,0.175,0.104,141.981,4
spotify:track:7ycWLEP1GsNjVvcjawXz3z,"Praise The Lord (Da Shine) (feat. Skepta)","TESTING","A$AP Rocky;Skepta",2018-05-25,205813,82,true,x22qy6jawnyenv1dtzrpfauql,2026-01-14T16:27:58Z,"rap,grime,uk grime","A$AP Worldwide/Polo Grounds Music/RCA Records",0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015,4
spotify:track:2N3U8uTYhjX2KwGT0pf5x0,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)","AT.LONG.LAST.A$AP","A$AP Rocky;Rod Stewart;Miguel;Mark Ronson",2015-05-26,260990,81,true,x22qy6jawnyenv1dtzrpfauql,2026-01-14T16:27:58Z,"rap,soft rock,r&b","A$AP Worldwide/Polo Grounds Music/RCA Records",0.394,0.661,4,-8.684,1,0.192,0.00996,0,0.343,0.335,149.818,4
spotify:track:6tDDoYIxWvMLTdKpjFkc1B,"telepatía","Sin Miedo (del Amor y Otros Demonios) ∞","Kali Uchis",2020-12-04,160191,84,false,x22qy6jawnyenv1dtzrpfauql,2026-01-14T16:27:58Z,"","EMI / Interscope",0.653,0.524,11,-9.016,0,0.0502,0.112,0,0.203,0.553,83.97,4
spotify:track:0JmnkIqdlnUzPaf8sqBRs3,"Moonlight","Red Moon In Venus","Kali Uchis",2023-03-03,187723,80,false,x22qy6jawnyenv1dtzrpfauql,2026-01-14T16:27:58Z,"","Geffen Records",0.642,0.706,7,-6.832,0,0.0507,0.518,0,0.243,0.86,136.854,4
spotify:track:7N3mR4WnEuq1MUQlxb6JWH,"Muévelo","Muévelo","Kali Uchis",2025-12-19,127366,83,false,x22qy6jawnyenv1dtzrpfauql,2026-01-14T16:27:58Z,"","Capitol Records",0.852,0.625,2,-4.692,1,0.048,0.281,0.00000985,0.0938,0.528,114.031,4
spotify:track:1xOqGUkyxGQRdCvGpvWKmL,"Gabriela","Gabriela","KATSEYE",2025-06-20,197226,92,false,x22qy6jawnyenv1dtzrpfauql,2026-01-14T16:27:58Z,"k-pop","HYBE/Geffen",0.653,0.754,7,-4.579,1,0.0692,0.184,0,0.369,0.623,145.884,4
