Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2ZWmmrWUgDBcPSLihBMvhg,"Baddadan (feat. IRAH, Flowdan, Trigga & Takura)","Baddadan (feat. IRAH, Flowdan, Trigga & Takura)","Chase & Status;Bou;Flowdan;IRAH;Trigga;Takura",2023-07-27,177291,71,false,x22qy6jawnyenv1dtzrpfauql,2026-02-17T10:06:39Z,"drum and bass,jungle,bassline,grime,uk garage","EMI",0.633,0.931,1,-0.424,1,0.228,0.214,0.00398,0.0585,0.566,87.537,4
spotify:track:0f97n6kmc8RYUwMyialr8y,"Closer","Closer","Bou;Slay",2023-05-05,135796,62,false,x22qy6jawnyenv1dtzrpfauql,2026-02-17T10:06:39Z,"drum and bass,bassline,jungle,liquid funk","Universal-Island Records Ltd.",0.63,0.736,1,-6.028,1,0.0445,0.0759,0.0246,0.123,0.338,87.46,4
spotify:track:6TAbRIua9JOTmqGMjGWe4d,"Raving In The Studio","Raving In The Studio","Aitch;Bou",2025-01-17,183771,61,true,x22qy6jawnyenv1dtzrpfauql,2026-02-17T10:06:39Z,"grime,uk grime,uk drill,drill,drum and bass,bassline,jungle","NQ Records",0.66,0.874,11,-1.676,1,0.219,0.0246,0,0.302,0.641,87.487,4
spotify:track:47kEJq44ZBrRBD4gvdCu0v,"Where You Are - GRiZ Remix","Where You Are (GRiZ Remix)","John Summit;HAYLA;GRiZ",2023-06-02,240000,60,false,x22qy6jawnyenv1dtzrpfauql,2026-02-17T10:06:39Z,"house,tech house,dubstep,edm","Experts Only/Darkroom Records",0.349,0.793,9,-4.383,0,0.0474,0.0331,0.00000366,0.745,0.249,139.641,4
spotify:track:2NuNzR5GVtL8nkJ0sxfGzs,"Nobody Else (with Kaleena Zanders)","Nobody Else (with Kaleena Zanders)","GRiZ;Kaleena Zanders",2025-12-19,192000,58,false,x22qy6jawnyenv1dtzrpfauql,2026-02-17T10:06:39Z,"dubstep,edm","GRiZ LLC",0.535,0.911,0,-0.934,1,0.0844,0.0384,0.0000125,0.342,0.209,145.039,4
spotify:track:6OTClxme7EYRZGO6An3SMc,"Griztronics","Bangers[2].Zip","GRiZ;Subtronics",2019-08-14,198400,57,true,x22qy6jawnyenv1dtzrpfauql,2026-02-17T10:06:39Z,"dubstep,edm,riddim,deathstep,bass music,dub","Deadbeats",0.607,0.941,11,-3.807,0,0.481,0.037,0.0137,0.321,0.521,75.401,4
spotify:track:5dAtKXyrQoQW054LZqJ5dP,"Feel Something (With I Prevail)","Feel Something (With I Prevail)","ILLENIUM;Excision;I Prevail",2020-04-03,221000,59,false,x22qy6jawnyenv1dtzrpfauql,2026-02-17T10:06:39Z,"melodic bass,future bass,edm,dubstep,riddim,deathstep,dub,bass music,metalcore,metal","Astralwerks",0.428,0.877,5,-4.722,0,0.0835,0.00153,0.00372,0.0943,0.113,75.518,4
spotify:track:5FQ5Ijl6HQsJYD6QaZseFo,"Bonebreaker","Bonebreaker","Excision;Sullivan King;Kai Wachi",2025-09-17,180800,54,true,x22qy6jawnyenv1dtzrpfauql,2026-02-17T10:06:39Z,"dubstep,riddim,deathstep,edm,dub,melodic bass,bass music","Subsidia",0.6,0.979,2,-0.055,1,0.152,0.0117,0.0969,0.294,0.373,149.893,4
spotify:track:0IMWZ7rMu864N1ouQsBpkQ,"A.F.B.1.","A.F.B.1.","Excision;Subtronics",2026-02-12,210857,57,true,x22qy6jawnyenv1dtzrpfauql,2026-02-17T10:06:39Z,"dubstep,riddim,deathstep,edm,dub,melodic bass,bass music","Subsidia",0.702,0.535,3,-0.422,0,0.0891,0.0106,0.00263,0.106,0.225,139.809,4
spotify:track:629lfbX9FnjfRDHoIOgNao,"Movement","Movement","Crankdat",2026-01-16,187561,61,false,x22qy6jawnyenv1dtzrpfauql,2026-02-17T10:06:39Z,"dubstep,riddim,edm,deathstep,bass house","Crank It Up! Records",0.81,0.849,11,-0.993,1,0.0978,0.0078,0.000201,0.111,0.599,140.092,4
