Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2IkoBp72ut3w9ylW1z4WC0,"CLEAN UP SONG (DUBSTEP)","CLEAN UP SONGS","Have Fun Teaching",2024-08-20,127000,20,false,12122343736,2025-09-24T00:56:25Z,"children's music","Have Fun Teaching",0.767,0.485,3,-11.133,0,0.0403,0.0528,0.0000162,0.153,0.294,140.083,4
spotify:track:4gAlboBIF5OGQiMYWa9aqU,"Self Titled Tour Edit - Intro","Self Titled - Tour Edits","ILLENIUM",2025-01-31,202400,41,false,12122343736,2025-05-30T20:43:28Z,"melodic bass,future bass,edm","Warner Records",0.53,0.854,3,-2.403,0,0.0632,0.00202,0.0662,0.0736,0.215,149.983,4
spotify:track:0nIvgyyNAaANpLtmJdXHjz,"Self Titled Tour Edit - Finale","Self Titled - Tour Edits","ILLENIUM",2025-01-31,305600,45,false,12122343736,2025-05-30T20:43:34Z,"melodic bass,future bass,edm","Warner Records",0.461,0.386,2,-8.063,1,0.0321,0.192,0,0.312,0.196,75.031,4
spotify:track:4cDt111m1lza60RxflHUoA,"Wish I Could Forget - William Black Remix","Wish I Could Forget (William Black Remix)","SLANDER;Bring Me The Horizon;blackbear;William Black",2025-01-24,186857,36,false,12122343736,2025-05-30T20:43:35Z,"melodic bass,future bass,edm,dubstep,metalcore,emo,screamo,rock,post-hardcore","SLANDER MUSIC",0.647,0.938,2,-2.9,0,0.0416,0.0124,0,0.129,0.224,139.953,4
spotify:track:0nSxiyRH74IpDiVdYLVjsv,"Heaven Feels Like","Heaven Feels Like","SLANDER;Fairlane",2024-11-08,203636,47,false,12122343736,2025-05-30T20:43:49Z,"melodic bass,future bass,edm,dubstep","Heaven Sent",0.56,0.74,1,-3.272,1,0.0413,0.0932,0,0.0736,0.498,131.967,4
spotify:track:2Vf5rlkLN92PRoRCt5Lv5E,"Someone You Forget","Find My Way (Deluxe)","Trivecta;Armen Paul",2025-02-14,323555,26,false,12122343736,2025-05-30T20:43:52Z,"melodic bass,future bass,dubstep,edm,chillstep","Ophelia Records",0.428,0.769,0,-5.07,1,0.0404,0.0157,0.0000105,0.0953,0.231,135.174,4
spotify:track:2gOrSnyYKsJWMrOH9giTkT,"Chaos Theory","Chaos Theory","GRiZ;Wooli",2025-05-30,157714,53,false,12122343736,2025-05-30T20:44:15Z,"dubstep,edm,melodic bass,riddim,deathstep,future bass,bass music","GRiZ LLC",0.537,0.886,1,-0.881,1,0.19,0.0208,0.00572,0.318,0.184,139.936,4
spotify:track:57gAu0LIjECqXYpuwmwU2C,"Cursed","Cursed","Gunpoint;Eater",2025-05-30,177428,19,false,12122343736,2025-05-30T20:44:20Z,"riddim,bass music,dubstep","Cyclops Recordings",0.457,0.873,3,-5.025,1,0.362,0.132,0.0113,0.104,0.213,138.757,4
spotify:track:5twIUTVteUEWdWaN1CjYBl,"REWIND","REWIND","Ray Volpe;Sullivan King",2025-05-30,198800,42,true,12122343736,2025-05-30T20:44:25Z,"dubstep,riddim,deathstep,melodic bass,bass music,edm","VOLPEVERSE",0.434,1,1,0.011,1,0.46,0.000324,0.414,0.389,0.108,149.981,4
spotify:track:5V3f3vuz7awiUgkZ22awRY,"DIV KILLER","DIV KILLER","Nimda",2025-05-30,226727,30,false,12122343736,2025-05-30T20:44:30Z,"deathstep,riddim,dubstep,bass music","Mentis Audio",0.376,0.998,1,0.982,1,0.34,0.0036,0.339,0.6,0.0706,139.822,4
