Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4Sf0pbrecRwmIjExsE2NcU,"MEGAZORD","Bangers[7].Zip","GRiZ",2022-11-11,163764,44,false,magicbasketball24,2026-01-30T21:32:34Z,"dubstep,edm","GRiZ LLC",0.537,0.995,11,0.109,1,0.449,0.293,0.000115,0.394,0.431,170.177,4
spotify:track:1E0CZWim9mfwrCkXvieES8,"Ecstasy Of Soul","Ecstasy Of Soul","Zeds Dead;GRiZ",2022-12-14,238400,52,false,magicbasketball24,2026-01-30T21:33:14Z,"dubstep,edm","Deadbeats",0.379,0.898,11,-2.19,0,0.219,0.0238,0.0265,0.374,0.129,150.223,4
spotify:track:6fpwtsLQwN6CcJIyaSYosE,"Light You Up ft. CREG","Light You Up ft. CREG","GRiZ;Tape B;CREG",2025-11-14,188571,54,true,magicbasketball24,2026-01-30T21:33:27Z,"dubstep,edm,riddim,bass music","GRiZ LLC",0.616,0.936,2,-2.15,0,0.0377,0.00146,0.643,0.101,0.0738,139.985,4
spotify:track:4uPfavkzDSlppPTJD5TdxS,"Vibe Check","Rainbow Brain","GRiZ",2021-07-23,169600,53,true,magicbasketball24,2026-01-30T21:33:34Z,"dubstep,edm","GRiZ LLC",0.735,0.946,0,-0.751,1,0.145,0.0176,0.00476,0.313,0.391,149.914,4
spotify:track:1Ca7IBRiNfOJT5STMI7suU,"Funk You Up!","Funk You Up!","GRiZ",2025-10-24,151578,48,false,magicbasketball24,2026-01-30T21:33:39Z,"dubstep,edm","GRiZ LLC",0.682,0.941,7,-0.91,1,0.108,0.00108,0.0253,0.117,0.572,95.035,4
spotify:track:3zLAn7lgcnua6JgckVXWva,"SAXORiDDiM","SAXORiDDiM","GRiZ",2023-06-23,188571,50,false,magicbasketball24,2026-01-30T21:33:43Z,"dubstep,edm","GRiZ LLC",0.539,0.952,10,-1.764,0,0.215,0.0201,0.1,0.799,0.404,140.066,4
spotify:track:2x5id3Ovu8gTYIInVG82tF,"Knucklepuck","Ouroboros","GRiZ;ProbCause",2023-10-06,202500,43,true,magicbasketball24,2026-01-30T21:33:49Z,"dubstep,edm","GRiZ LLC",0.632,0.972,0,-1.829,0,0.178,0.00899,0.0000247,0.548,0.7,96.026,4
spotify:track:2il9NDpW87Hk2L9AjeDf8r,"Griztronics II (Another Level)","Griztronics II (Another Level)","GRiZ;Subtronics",2021-11-19,165517,48,false,magicbasketball24,2026-01-30T21:33:54Z,"dubstep,edm,riddim,deathstep,bass music,dub","Cyclops Recordings",0.579,0.978,0,0.352,1,0.211,0.0205,0.00829,0.326,0.58,145.054,4
spotify:track:2gOrSnyYKsJWMrOH9giTkT,"Chaos Theory","Chaos Theory","GRiZ;Wooli",2025-05-30,157714,53,false,magicbasketball24,2026-01-30T21:34:58Z,"dubstep,edm,melodic bass,riddim,deathstep,future bass,bass music","GRiZ LLC",0.537,0.886,1,-0.881,1,0.19,0.0208,0.00572,0.318,0.184,139.936,4
spotify:track:2NuNzR5GVtL8nkJ0sxfGzs,"Nobody Else (with Kaleena Zanders)","Nobody Else (with Kaleena Zanders)","GRiZ;Kaleena Zanders",2025-12-19,192000,58,false,magicbasketball24,2026-01-30T21:35:10Z,"dubstep,edm","GRiZ LLC",0.535,0.911,0,-0.934,1,0.0844,0.0384,0.0000125,0.342,0.209,145.039,4
spotify:track:3AF3nGA0feGjLByXNvvSKJ,"Fuck This","Fuck This","HOLY PRIEST;elMefti;FACELESS",2023-07-28,207631,60,true,magicbasketball24,2026-01-30T21:38:32Z,"hard techno,techno,hardcore techno,tekno","Revised Records",0.676,0.973,1,-6.344,1,0.0716,0.000284,0.744,0.121,0.072,151.996,4
