Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:14AyWf6y7KlWWLfAjdKMKI,"Ophelia","Cleopatra","The Lumineers",2016-04-08,160097,80,false,1228449881,2025-10-01T14:59:15Z,"folk pop,indie folk","Dualtone Music Group",0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,4
spotify:track:4wG82w1L31yQhgGiWt6gIb,"Stubborn Love","The Lumineers","The Lumineers",2012-04-03,279000,77,false,1228449881,2025-10-01T14:59:23Z,"folk pop,indie folk","Dualtone Music Group",0.598,0.561,0,-11.676,1,0.0376,0.611,0.0417,0.196,0.231,115.011,4
spotify:track:0HEytGQM3bG1vKxER7IgVK,"Spotless (feat. The Lumineers)","Zach Bryan","Zach Bryan;The Lumineers",2023-08-25,169467,73,true,1228449881,2025-10-01T14:59:31Z,"country,red dirt,folk pop,indie folk","Warner Records",0.604,0.444,0,-7.695,1,0.0698,0.409,0,0.0837,0.169,72.129,4
spotify:track:0DwClY2t9YAWHBROMIgrXb,"Ho Hey","The Lumineers","The Lumineers",2012-04-03,163133,82,false,1228449881,2025-10-01T14:59:39Z,"folk pop,indie folk","Dualtone Music Group",0.685,0.466,0,-9.074,1,0.0304,0.791,0.00000206,0.0914,0.353,79.936,4
spotify:track:17qsMrWoebNyl2Z9z8eJcl,"Shout (The Institute Theme Song)","Shout (The Institute Theme Song)","The Lumineers",2025-07-08,116171,44,false,1228449881,2025-10-01T14:59:47Z,"folk pop,indie folk","Dualtone Music Group",0.563,0.329,4,-6.701,1,0.0252,0.797,0.00222,0.143,0.376,88.584,4
spotify:track:6quGF3Kvzd5WYEEuCmvCe1,"World, Hold On - FISHER Rework","World, Hold On (FISHER Rework)","Bob Sinclar;Steve Edwards;FISHER",2022-09-02,178304,68,false,1228449881,2025-10-01T15:00:53Z,"french house,disco house,house,tech house","Astralwerks",0.772,0.882,1,-5.242,0,0.0589,0.00614,0.00627,0.136,0.891,127.006,4
spotify:track:63HwAAXuSV2tzIUPoHOwZa,"Atmosphere","Atmosphere","FISHER;Kita Alexander",2023-08-11,182857,72,false,1228449881,2025-10-01T15:00:59Z,"tech house,house","Catch & Release",0.762,0.895,8,-4.562,1,0.0734,0.00623,0.142,0.204,0.757,125.985,4
spotify:track:6ho0GyrWZN3mhi9zVRW7xi,"Losing It","Losing It","FISHER",2018-07-13,248035,73,false,1228449881,2025-10-01T15:01:04Z,"tech house,house","Fisher - Follow the FISH, LLC",0.76,0.964,2,-5.844,1,0.0577,0.00181,0.703,0.0975,0.643,125.003,4
spotify:track:1AS1oLvEr6PNsCLnuEUmCi,"Blackberries","Blackberries","FISHER;bbyclose",2025-07-18,121846,69,false,1228449881,2025-10-01T15:01:12Z,"tech house,house","Catch & Release",0.816,0.874,11,-6.964,0,0.106,0.00143,0.719,0.114,0.9,129.979,4
spotify:track:0agQ9vIV7NP4dntGKLcCXO,"Somebody (2024)","Somebody (2024)","Gotye;FISHER;Chris Lake;Kimbra;Sante Sansone",2024-02-09,153518,75,false,1228449881,2025-10-01T15:01:22Z,"tech house,house,bass house","Universal-Island Records Ltd.",0.848,0.629,0,-6.198,1,0.0424,0.016,0.18,0.049,0.586,130.017,4
spotify:track:10jXicWLj7TM7Ny7eTZgdP,"Deep Clear Water","Deep Clear Water","Gryffin;GRiZ",2025-09-12,199651,53,false,1228449881,2025-10-01T15:01:34Z,"edm,melodic bass,future bass,dubstep","Gryffin LLC",0.505,0.838,9,-2.916,1,0.0858,0.0169,0.000135,0.121,0.144,149.925,4
spotify:track:6FSG4uKwi4Ofs6yWSqmyeZ,"Falling Flying","Ouroboros","GRiZ",2023-10-06,223058,56,false,1228449881,2025-10-01T15:01:41Z,"dubstep,edm","GRiZ LLC",0.438,0.875,0,-6.683,0,0.344,0.00223,0.738,0.123,0.102,169.999,4
spotify:track:1E0CZWim9mfwrCkXvieES8,"Ecstasy Of Soul","Ecstasy Of Soul","Zeds Dead;GRiZ",2022-12-14,238400,52,false,1228449881,2025-10-01T15:01:48Z,"dubstep,edm","Deadbeats",0.379,0.898,11,-2.19,0,0.219,0.0238,0.0265,0.374,0.129,150.223,4
spotify:track:47kEJq44ZBrRBD4gvdCu0v,"Where You Are - GRiZ Remix","Where You Are (GRiZ Remix)","John Summit;HAYLA;GRiZ",2023-06-02,240000,60,false,1228449881,2025-10-01T15:01:55Z,"house,tech house,dubstep,edm","Experts Only/Darkroom Records",0.349,0.793,9,-4.383,0,0.0474,0.0331,0.00000366,0.745,0.249,139.641,4
