Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3cZajhyr8LmtPfHZ9296tj,"No Broke Boys","No Broke Boys","Disco Lines;Tinashe",2025-06-06,163994,92,true,31xbsf5lui2ovllknly7awn2hm34,2026-01-13T19:51:03Z,"stutter house,alternative r&b","Nice Life/Atlantic",0.767,0.834,1,-7.415,0,0.0315,0.34,0.111,0.0901,0.962,130.999,4
spotify:track:6qJhrI2BMuA8qHcmycD3fL,"TESLA","TESLA","Mau P",2025-08-08,186818,63,true,31xbsf5lui2ovllknly7awn2hm34,2026-01-13T19:51:03Z,"tech house,house","Insomniac Records",0.757,0.792,10,-5.507,1,0.044,0.000344,0.864,0.0663,0.708,132.014,4
spotify:track:3qhf5WajCHsJibQ7cQ2qYS,"I Know You Want To","I Know You Want To","Max Styler",2025-03-14,193488,61,true,31xbsf5lui2ovllknly7awn2hm34,2026-01-13T19:51:03Z,"tech house","Insomniac Records",0.801,0.885,2,-5.36,1,0.0504,0.00443,0.899,0.147,0.644,129.007,4
spotify:track:3sh2q76qsc7yLkQNmHKfQf,"Stephanie","Stephanie","Cloonee;Young M.A;InntRaw",2024-12-06,188534,64,false,31xbsf5lui2ovllknly7awn2hm34,2026-01-13T19:51:03Z,"tech house,house,latin house","Hellbent Records",0.916,0.527,9,-6.838,1,0.12,0.161,0,0.259,0.74,130.024,4
spotify:track:4tPRCzSKPLEpl1UaW9iuuH,"Sample Inspector","Sample Inspector EP","RUZE",2025-01-17,165581,16,false,31xbsf5lui2ovllknly7awn2hm34,2026-01-13T19:51:03Z,"rally house,house,tech house","Factory 93 Records",0.815,0.858,7,-9.128,1,0.0546,0.00687,0.258,0.0566,0.64,129.018,4
spotify:track:1Gm9mRYaqU7VpJBsZsWbgQ,"TWOSTEP","TWOSTEP","Riordan",2025-04-25,192727,58,false,31xbsf5lui2ovllknly7awn2hm34,2026-01-13T19:51:03Z,"uk garage,tech house,latin house,house","Insomniac Records",0.685,0.859,1,-7.661,1,0.0383,0.126,0.483,0.298,0.708,132.009,4
spotify:track:4UrvsThnqGTyuqSKnxw0kK,"u & i","u & i","Distant Matter;fkblnde",2025-06-13,181818,52,false,31xbsf5lui2ovllknly7awn2hm34,2026-01-13T19:51:03Z,"stutter house,uk garage,rally house","Boom Records LLC",0.713,0.698,2,-6.675,1,0.122,0.575,0.267,0.635,0.265,132.04,4
spotify:track:5zXfHNzmiGLpMJhzFdD7bM,"In My Head","In My Head","Gryffin;Kaskade;Nu-La",2025-01-31,215930,57,false,31xbsf5lui2ovllknly7awn2hm34,2026-01-13T19:51:03Z,"edm,melodic bass,future bass,drum and bass","Gryffin LLC",0.579,0.899,9,-4.523,0,0.042,0.0638,0.0000146,0.483,0.0494,131.99,4
spotify:track:4j1hJwuawbvpm2q2orbgj7,"Every Day","Opus","Eric Prydz",2016-02-05,434666,57,false,31xbsf5lui2ovllknly7awn2hm34,2026-01-13T19:51:03Z,"","Virgin Records Ltd",0.477,0.728,7,-5.978,0,0.0378,0.00298,0.26,0.124,0.0341,125.988,4
spotify:track:1LOjIBinbAVfmVqqELvgLh,"ELECTRIC LOVE","ELECTRIC LOVE","AVELLO;HXRT",2025-08-27,164307,51,false,31xbsf5lui2ovllknly7awn2hm34,2026-01-13T19:51:03Z,"melodic bass","Thrive Music",0.665,0.93,6,-1.523,0,0.0465,0.175,0.00000387,0.374,0.283,130.072,4
