Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2V65y3PX4DkRhy1djlxd9p,"Don't You Worry Child - Radio Edit","Don't You Worry Child","Swedish House Mafia;John Martin",2012-09-14,212862,83,false,p9fyaay50vpngm85s84q84kyb,2026-02-21T18:04:23Z,"edm","Pophouse Entertainment Group",0.612,0.84,11,-3.145,0,0.0509,0.112,0,0.116,0.438,129.042,4
spotify:track:59NraMJsLaMCVtwXTSia8i,"Prada","Prada","cassö;RAYE;D-Block Europe",2023-08-11,132359,81,true,p9fyaay50vpngm85s84q84kyb,2026-02-21T18:04:23Z,"hypertechno,grime,uk drill","Ministry of Sound Recordings",0.638,0.717,8,-5.804,1,0.0375,0.001,0.00000179,0.113,0.422,141.904,4
spotify:track:4uUG5RXrOk84mYEfFvj3cK,"I'm Good (Blue)","I'm Good (Blue)","David Guetta;Bebe Rexha",2022-08-26,175238,84,true,p9fyaay50vpngm85s84q84kyb,2026-02-21T18:04:23Z,"edm","Parlophone UK",0.561,0.965,7,-3.673,0,0.0343,0.00383,0.00000707,0.371,0.304,128.04,4
spotify:track:2FAZskT9yRjp2Oow9szJD8,"The Days - NOTION Remix","The Days (NOTION Remix)","Chrystal;NOTION",2024-11-08,233229,86,false,p9fyaay50vpngm85s84q84kyb,2026-02-21T18:04:23Z,"bassline,bass house,uk garage,drum and bass","Polydor Records",0.62,0.843,6,-5.321,0,0.0844,0.0062,0.00000463,0.55,0.237,137.812,4
spotify:track:2gHWV4EvkLqBngzXiT2nh4,"Heads Will Roll","Heads Will Roll","Roman Messer;Kayote",2025-07-04,174400,51,false,p9fyaay50vpngm85s84q84kyb,2026-02-21T18:04:23Z,"trance,progressive trance","Dopamine Department",0.613,0.958,7,-3.368,1,0.0602,0.000911,0.000923,0.324,0.495,149.953,4
spotify:track:09CnYHiZ5jGT1wr1TXJ9Zt,"Thank You (Not So Bad)","Thank You (Not So Bad)","Dimitri Vegas & Like Mike;Tiësto;Dido;W&W;Dimitri Vegas;Like Mike",2023-12-01,140000,82,false,p9fyaay50vpngm85s84q84kyb,2026-02-21T18:04:23Z,"big room,electronica,edm,trance,house","Ministry of Sound Recordings",0.673,0.95,11,-5.149,1,0.0488,0.0229,0.0823,0.398,0.563,150.019,4
spotify:track:31nfdEooLEq7dn3UMcIeB5,"Vois sur ton chemin - Techno Mix","Vois sur ton chemin (Techno Mix)","BENNETT",2023-08-04,178156,79,false,p9fyaay50vpngm85s84q84kyb,2026-02-21T18:04:23Z,"hypertechno,techno","Warner Music Central Europe",0.634,0.824,2,-3.394,0,0.047,0.0908,0.0711,0.119,0.371,137.959,4
spotify:track:2Fekdhq7wnbSp8uk8EtkE8,"Addicted To Our Chemistry","Addicted To Our Chemistry","Kayote;WhiteCapMusic;mavzy grx",2026-01-30,164897,43,false,p9fyaay50vpngm85s84q84kyb,2026-02-21T18:04:23Z,"hypertechno","Dopamine Department",0.635,0.85,6,-5.714,0,0.0559,0.00401,0.108,0.078,0.395,147.042,4
spotify:track:5a2Mb0OPY17zkS8FnciQhg,"Finally","Finally","Swedish House Mafia;Alicia Keys",2024-08-29,215583,70,false,p9fyaay50vpngm85s84q84kyb,2026-02-21T18:04:23Z,"edm,r&b,neo soul","Swedish House Mafia",0.593,0.843,10,-5.008,0,0.076,0.0137,0.0447,0.105,0.13,130.994,4
spotify:track:1Q9AA6bYXxJBXPxBeQsLf5,"Freed From Desire","Freed From Desire","WESCALATIE;The Infamous;MORY",2025-10-23,154400,67,false,p9fyaay50vpngm85s84q84kyb,2026-02-21T18:04:23Z,"","Actuation",0.501,0.88,2,-2.911,0,0.0698,0.00385,0.000144,0.252,0.0925,75.004,4
spotify:track:1qEdy4SngOIHrZIwt0vgKQ,"Techno Rocker","Techno Rocker","LYNSY",2026-02-13,174960,36,false,p9fyaay50vpngm85s84q84kyb,2026-02-21T18:04:23Z,"hard techno,acid techno","Dopamine Department",0.555,0.999,4,-4.949,1,0.0824,0.00227,0.0109,0.381,0.0694,155.031,4
spotify:track:2FiDLwrei6AW8hFYfIf68J,"Voices","Voices","Ian Storm;CYRUS",2025-10-17,205447,45,false,p9fyaay50vpngm85s84q84kyb,2026-02-21T18:04:23Z,"lounge,tech house","Storm Infinity Beats",0.491,0.956,9,-7.354,0,0.045,0.00107,0.0465,0.129,0.0387,124.976,4
spotify:track:3pUz2qJe5nqZemi3hhIxMk,"Where You Are","Comfort In Chaos","John Summit;HAYLA",2024-07-12,236000,74,false,p9fyaay50vpngm85s84q84kyb,2026-02-21T18:04:23Z,"house,tech house","Experts Only/Darkroom Records",0.565,0.832,9,-6.422,0,0.041,0.0106,0.00693,0.508,0.0791,125.948,4
spotify:track:2nVT8zIxiloW7VMvjAUHrx,"Dragostea Din Tei","Dragostea Din Tei","Kayote;ThoBa;SoNatta;Gabriel Wittner",2025-12-29,144000,49,false,p9fyaay50vpngm85s84q84kyb,2026-02-21T18:04:23Z,"trance,hypertechno","Dopamine Department",0.538,0.991,0,-4.202,1,0.0641,0.0161,0.0158,0.322,0.513,154.991,4
spotify:track:2ruAuKmUaKRru1Kwam0M8R,"Bla Bla Bla","Bla Bla Bla","Roman Messer;Kayote",2025-04-11,132413,50,false,p9fyaay50vpngm85s84q84kyb,2026-02-21T18:04:23Z,"trance,progressive trance","Dopamine Department",0.592,0.978,4,-2.427,1,0.0561,0.00233,0.000525,0.403,0.335,145.017,4
spotify:track:5rnWLFfdYQMZu4bac1G5Hk,"Hands Up, Hands High","Hands Up, Hands High","DANIQ",2026-01-02,222971,43,false,p9fyaay50vpngm85s84q84kyb,2026-02-21T18:04:23Z,"hard house,hypertechno","Dopamine Department",0.583,0.943,11,-4.672,0,0.0387,0.0003,0.729,0.352,0.314,150.034,4
spotify:track:3cZajhyr8LmtPfHZ9296tj,"No Broke Boys","No Broke Boys","Disco Lines;Tinashe",2025-06-06,163994,92,true,p9fyaay50vpngm85s84q84kyb,2026-02-21T18:04:23Z,"stutter house,alternative r&b","Nice Life/Atlantic",0.767,0.834,1,-7.415,0,0.0315,0.34,0.111,0.0901,0.962,130.999,4
spotify:track:5FyKYhpGbBMab013B4zBI7,"At Night","At Night","Skytech;The M;Lena Leon",2025-08-22,152812,52,false,p9fyaay50vpngm85s84q84kyb,2026-02-21T18:04:23Z,"big room,edm","Actuation",0.65,0.898,3,-3.441,0,0.0432,0.0231,0.143,0.235,0.167,128.012,4
spotify:track:6dJaDOSG6ir1y1vEXwMX9M,"Hallelujah","Hallelujah","Roman Messer;Kayote;FEEL",2025-11-14,140804,46,false,p9fyaay50vpngm85s84q84kyb,2026-02-21T18:04:23Z,"trance,progressive trance","Dopamine Department",0.42,0.939,7,-5.828,1,0.0335,0.000217,0.0118,0.164,0.187,150.007,4
spotify:track:05RK4klU7S2Jm50ONIjyM4,"Hearts Grow Cold (Saint Noël) [feat. Olivia Cadenza]","Hearts Grow Cold (Saint Noêl) [feat. Olivia Cadenza]","Kayote;Roman Messer;WhiteCapMusic;Olivia Cadenza",2025-10-17,159000,45,false,p9fyaay50vpngm85s84q84kyb,2026-02-21T18:04:23Z,"trance,progressive trance,hypertechno","Dopamine Department",0.579,0.91,3,-4.639,0,0.0369,0.023,0.128,0.104,0.246,159.971,4
