Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3cZajhyr8LmtPfHZ9296tj,"No Broke Boys","No Broke Boys","Disco Lines;Tinashe",2025-06-06,163994,92,true,themedialions,2025-07-30T18:39:05Z,"stutter house,alternative r&b","Nice Life/Atlantic",0.767,0.834,1,-7.415,0,0.0315,0.34,0.111,0.0901,0.962,130.999,4
spotify:track:78nx0HDJIFD5xDq2L5420Z,"Blessings","Blessings","Calvin Harris;Clementine Douglas",2025-05-09,219650,84,false,themedialions,2025-07-30T18:44:41Z,"edm","Columbia",0.721,0.875,11,-4.125,0,0.0557,0.0022,0.0285,0.0888,0.642,129.913,4
spotify:track:4ujMYlKc1IyC77Hjb1Wnbf,"Bimbo doll >_<","Bimbo doll >_<","eye roll emoji",2024-12-09,145507,0,false,themedialions,2025-07-30T18:45:12Z,"","eyeroll records",0.644,0.894,1,-8.154,0,0.0958,0.00425,0.86,0.212,0.303,171.557,4
spotify:track:3cjvqsvvU80g7WJPMVh8iq,"Genesis","Visions","Grimes",2012-02-21,255320,71,false,themedialions,2025-07-30T18:45:22Z,"art pop","4AD",0.611,0.677,10,-6.745,0,0.034,0.0764,0.0698,0.241,0.233,166.04,4
spotify:track:2WlXPpZlL8Oy0CI67okGPw,"TEMPORARY FRIENDS","FORWARDS","NOTION;Charlotte Plank",2024-08-30,181714,63,false,themedialions,2025-07-30T18:46:00Z,"bassline,bass house,uk garage,drum and bass","NOTION",0.437,0.862,7,-5.25,1,0.06,0.103,0.00261,0.112,0.351,140.051,4
spotify:track:7u0fz3V6cYeYTX91DMmIvQ,"Food for the Soul","Food for the Soul","it's murph",2023-02-17,210562,66,false,themedialions,2025-07-30T18:46:14Z,"stutter house,house","Sonic Café",0.655,0.714,7,-7.78,0,0.0572,0.0512,0.48,0.32,0.131,123.002,4
spotify:track:5v5yF1qIhHD1ptZoN8dxv7,"NOW IT'S GONE","NOW IT'S GONE","IN PARALLEL",2024-10-17,143184,68,false,themedialions,2025-07-30T18:46:33Z,"uk garage","Method 808, distributed by gamma.",0.693,0.902,1,-2.844,0,0.0417,0.00735,0.422,0.0898,0.517,137.958,4
spotify:track:3N5JcXOMWU0J1lZcJrAVms,"A Fire Inside Of Me","A Fire Inside Of Me","Lucas Dekker",2024-03-21,238080,68,false,themedialions,2025-07-30T18:46:56Z,"house","Big Top Amsterdam",0.739,0.393,3,-16.851,1,0.052,0.0379,0.218,0.0945,0.339,125.001,4
spotify:track:7nbuGxQ7TfJXb9OgH3xJEr,"Forget It","Forget It","Matroda",2020-12-04,173694,61,false,themedialions,2025-07-30T18:47:21Z,"bass house,tech house,g-house,house,electro house","Insomniac Records",0.717,0.903,7,-6.042,0,0.141,0.179,0.00532,0.192,0.344,122.986,4
spotify:track:4FKRT4uPFx2L4exy9DCs1o,"dashstar* - VIP","dashstar* (VIP)","Knock2",2022-07-29,140481,63,false,themedialions,2025-07-30T18:47:36Z,"bass house,edm,bassline","NIGHTMODE",0.58,0.968,5,-2.803,1,0.0807,0.0162,0.294,0.354,0.0599,126.023,4
spotify:track:5PkWhNfVEz2O9n8b6cQFMw,"Rock Ur World","ROOM202 EP","Knock2;fussy",2023-01-27,281066,57,false,themedialions,2025-07-30T18:47:42Z,"bass house,edm,bassline","NIGHTMODE",0.669,0.912,8,-3.753,0,0.0613,0.0862,0.00135,0.566,0.289,125.98,4
spotify:track:68V8nkmtQAnQ1daNWc9sFO,"crank the bass, play the muzik","nolimit","Knock2",2025-01-17,208086,49,true,themedialions,2025-07-30T18:59:39Z,"bass house,edm,bassline","88rising Music",0.705,0.935,8,-4.665,0,0.134,0.00447,0.000725,0.605,0.436,131.944,4
spotify:track:2wxV2bJBMUeNu3qVQCmBFn,"Bears Gotta Burn","There Goes Your Money","Virtual Riot",2013-05-27,257370,13,false,themedialions,2025-07-30T19:00:01Z,"dubstep,riddim,deathstep,bass music,future bass,edm,dub,drumstep","Disciple",0.438,0.869,3,-3.104,0,0.108,0.00838,0.0054,0.181,0.184,139.967,4
spotify:track:0tzpzzTKNJlcOSCfLJesCD,"Mindreader","There Goes Your Money","Virtual Riot;Lisa Rowe",2013-05-27,285500,14,false,themedialions,2025-07-30T19:00:07Z,"dubstep,riddim,deathstep,bass music,future bass,edm,dub,drumstep","Disciple",0.633,0.853,5,-4.589,0,0.245,0.156,0.00012,0.108,0.361,139.987,4
spotify:track:3wDEJdCISwxJ8sDrUunwXZ,"We Never Sleep","There Goes Your Money","Virtual Riot",2013-05-27,334153,15,false,themedialions,2025-07-30T19:00:12Z,"dubstep,riddim,deathstep,bass music,future bass,edm,dub,drumstep","Disciple",0.729,0.911,5,-5.443,0,0.176,0.0161,0.0196,0.375,0.371,130.023,4
spotify:track:0CeTCFfx5sX4q6rcgLQuDU,"Rampage","The Classics","Virtual Riot",2017-05-05,214909,22,false,themedialions,2025-07-30T19:00:19Z,"dubstep,riddim,deathstep,bass music,future bass,edm,dub,drumstep","Create Classics",0.464,0.932,1,-5.561,1,0.0695,0.00406,0.681,0.278,0.223,173.992,4
spotify:track:5uh8m2Lna0Gfk8YGqYVb6d,"Make U SWEAT!","Make U SWEAT!","Knock2",2023-01-13,234285,54,false,themedialions,2025-07-30T19:01:12Z,"bass house,edm,bassline","NIGHTMODE",0.589,0.965,6,-1.234,0,0.0619,0.0234,0.849,0.503,0.232,126.046,4
spotify:track:5zuex7tbGFz0gSHlrMvQdu,"COULD BE WRONG","COULD BE WRONG","LOSTBOYJAY",2022-12-02,186046,73,false,themedialions,2025-07-30T19:02:25Z,"rally house,house","Polydor Records",0.875,0.772,0,-8.472,1,0.111,0.0233,0.0016,0.316,0.826,129.024,4
spotify:track:0ymhaRjiCwNQzeQEjewE7F,"Restless Bones","Restless Bones","Disco Lines",2022-10-14,145573,58,false,themedialions,2025-07-30T19:02:40Z,"stutter house","Boom Records LLC",0.754,0.76,9,-6.487,1,0.0384,0.448,0.666,0.0817,0.314,121.979,4
spotify:track:2EPbupudXMt2oYC3iyl31o,"I've Arrived (with Tomike)","I've Arrived (with Tomike)","Obskür;Tomike",2024-07-26,150923,67,false,themedialions,2025-07-30T19:02:59Z,"rally house,house","Disorder",0.64,0.804,7,-8.561,1,0.0328,0.0103,0.188,0.319,0.318,131.939,4
spotify:track:1WmBVbFmLt0w6zPP37TeCG,"Illegal","Fancy That","PinkPantheress",2025-05-09,149666,80,false,themedialions,2025-07-30T19:03:26Z,"bedroom pop","Warner Records",0.624,0.89,0,-5.209,0,0.0476,0.0684,0.00149,0.187,0.518,141.47,4
spotify:track:2wGRIasMJFkp2NLAISSZov,"Just What I Said (Everything In Its Right Place)","Just What I Said (Everything In Its Right Place)","High Beam",2025-02-14,196088,67,false,themedialions,2025-07-30T19:03:40Z,"","High Beam",0.824,0.502,1,-8.179,1,0.0477,0.482,0.409,0.109,0.197,124.021,4
spotify:track:2YhEJoYccyE5wpdAkZWbPk,"RWEOK?","RWEOK?","Disco Lines;demotapes",2023-07-28,147401,54,false,themedialions,2025-07-30T19:03:55Z,"stutter house","Good Good Records",0.672,0.938,6,-5.171,0,0.0369,0.0207,0.654,0.0638,0.0969,126.995,4
spotify:track:5UBfLYnkImP1RKMMy4TGs8,"Stateside","Fancy That","PinkPantheress",2025-05-09,168040,72,false,themedialions,2025-07-30T19:04:48Z,"bedroom pop","Warner Records",0.68,0.896,10,-5.343,0,0.0455,0.172,0.00741,0.134,0.624,123.419,4
spotify:track:76dIZzTdrNO15mGBrU3MHi,"One Kiss (with Dua Lipa)","96 Months","Calvin Harris;Dua Lipa",2024-08-08,214846,75,false,themedialions,2025-07-30T19:05:02Z,"edm,pop","Columbia",0.79,0.862,9,-3.24,0,0.11,0.037,0.0000225,0.0814,0.593,123.992,4
spotify:track:6T7ICeDCo0Bvu5eB4lr6ej,"PERFECT STORM","PERFECT STORM","Bad Patterns",2025-04-25,174222,50,false,themedialions,2025-07-30T19:05:27Z,"uk garage","Crack The Code",0.607,0.902,5,-5.003,1,0.0304,0.183,0.124,0.147,0.198,135.026,4
spotify:track:1Lnm8VcJd1PeIK5EOlMPkb,"Stay - Speed Garage","Stay (Speed Garage)","Strn.;ALEXYS",2025-05-16,128450,51,false,themedialions,2025-07-30T19:05:31Z,"uk garage","Music For People",0.641,0.732,8,-5.107,1,0.0497,0.0117,0.000171,0.335,0.419,141.941,4
spotify:track:5oWfXmdrVX0AMwEdJ8iSBf,"Who do u?","Who do u?","JACK MARLOW;Phantom Records",2025-02-28,196874,63,false,themedialions,2025-07-30T19:05:37Z,"rally house,uk garage,house","Phantom Records",0.767,0.806,11,-6.818,0,0.0537,0.0511,0.0000125,0.135,0.839,128.088,4
spotify:track:2LKn2oXYkUcJAzfhLWj459,"Outta Time","Outta Time","Mannequin",2025-02-21,130222,33,false,themedialions,2025-07-30T19:05:42Z,"rally house,electroclash,witch house","Aurorian Records",0.676,0.824,8,-5.234,1,0.0449,0.0164,0.938,0.278,0.514,135.009,4
spotify:track:6ow9Iwh3H3ud5cRREiEX53,"Do To Me","Do To Me","Tim Sanders",2024-11-29,144609,77,false,themedialions,2025-07-30T19:05:49Z,"rally house,house","Aurorian Records",0.82,0.811,7,-10.389,1,0.0494,0.0306,0.841,0.0817,0.667,127.965,4
spotify:track:49IeJWmEffdDpBy5bKObBo,"90's Sunshine - Lemtom Radio Edit","90's Sunshine (Lemtom Remix)","PXRKX;Nitro Station;Lemtom",2025-02-06,175601,32,false,themedialions,2025-07-30T19:05:56Z,"rally house,house,uk garage","Miura Records",0.782,0.903,1,-4.131,1,0.143,0.00681,0.428,0.145,0.479,133.032,4
