Track name,Artist name,Album,Playlist name,Type,ISRC,Apple - id
"Sentimientos Encontraos","Matias Aguayo","Anenoa","Electronic Daily","Playlist","US23A9404654","1868764782"
"The Lake (Cinematic)","Fever Ray","The Lake / Wrong Flower (From ""The Bride!"") - EP","Electronic Daily","Playlist","USNLR2600050","1875427754"
"What You Want","Angèle & Justice","What You Want - Single","Electronic Daily","Playlist","BE8HB2600001","1874973639"
"Of Joy (feat. ARY)","DJ Seinfeld","Of Joy (feat. ARY) - Single","Electronic Daily","Playlist","GBCFB2500499","1870539621"
"only the best","horsegiirL","only the best - Single","Electronic Daily","Playlist","USRC12600083","1876048177"
"Beatback","Fcukers","Ö","Electronic Daily","Playlist","GBCFB2500576","1861895138"
"Total Control","NightNight","Total Control - Single","Electronic Daily","Playlist","QT6G92537296","1865693359"
"Sexistential (Arca’s Take)","Robyn","Sexistential (Arca’s Take) - Single","Electronic Daily","Playlist","UK7MC2600005","1871222137"
"You Bliss","Nightmares On Wax & Adrian Sherwood","In a Space Outta Dub","Electronic Daily","Playlist","GBBPW2602453","1869397357"
"The Nightmare","Two Shell","The Nightmare - Single","Electronic Daily","Playlist","UK7MC2500309","1850726282"
"Still Sincere (feat. PinkPantheress)","MJ Cole","Still Sincere (feat. PinkPantheress) - Single","Electronic Daily","Playlist","US23A9062088","1862228374"
"Baby Run","Jimi Jules","Baby Run - Single","Electronic Daily","Playlist","QMFME2518322","1857658819"
"scared","Fred again.. & Young Thug","scared - Single","Electronic Daily","Playlist","GBAHS2501690","1862292863"
"The Heart Wants a Heart","Anish Kumar","AK Cuts: Vol. 2 - EP","Electronic Daily","Playlist","US23A8150185","1852533134"
"L.U.C.K.Y","Fcukers","Ö","Electronic Daily","Playlist","GBCFB2500740","1861895147"
"Vista (Voigtmann Mix)","Djebali & Miroloja","Vista - EP","Electronic Daily","Playlist","UKWNJ2500263","1861913614"
"Junie (Carlos Nilmmns True People Remix)","Rolando","The Junie Remixes: Deep House Trio - Single","Electronic Daily","Playlist","UK78T2400061","1851654306"
"Talk To Me","Robyn","Sexistential","Electronic Daily","Playlist","UK7MC2500288","1852752952"
"Conga Fury","Kloke & Tim Reaper","MINDGAME 10 - EP","Electronic Daily","Playlist","NZSU12500087","1858278395"
"Berlin Boogie Town (Boombass from Cassius Remix)","Kapote, Cassius & Boombass","Berlin Boogie Town Remixes - EP","Electronic Daily","Playlist","DEBY41201025","1847751957"
"Mind’s Eye","DJ Bone","The Soapbox - EP","Electronic Daily","Playlist","US23A8150032","1852513655"
"Corner Of My Eye","Floating Points","Corner Of My Eye - Single","Electronic Daily","Playlist","UKCFH2500002","1852527136"
"Let Me Say This","Skin On Skin","Home Is True","Electronic Daily","Playlist","GBBKS2500714","1856603221"
"Iron Kartel","Bony Fly","Don Mateo’s Cruises","Electronic Daily","Playlist","GBQLP2500715","1858680482"
"Come Find Me","Djrum","Come Find Me - Single","Electronic Daily","Playlist","GBEXH2500181","1854122694"
