Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0wte6sTInjPoOe3m7ZB4FX,"rolling down this lazy wave","Chillhop Essentials Summer 2018","santpoort",2018-06-20,156124,0,false,zyfj45vtxqmpicwwzvgk9fqa2,2019-10-18T07:05:30Z,"lo-fi beats,lo-fi,lo-fi hip hop","Chillhop Records",0.576,0.36,0,-15.509,1,0.0951,0.654,0.83,0.0767,0.446,154.027,4
spotify:track:6Fr50AXBWr8ki9EluTMPWl,"Gravitation","Presence","Petit Biscuit;Møme;Isaac Delusion",2017-11-10,217986,35,false,zyfj45vtxqmpicwwzvgk9fqa2,2019-10-18T07:07:18Z,"french indie pop","Petit Biscuit Music",0.613,0.59,1,-10.465,1,0.0672,0.0148,0.269,0.0979,0.04,119.864,4
spotify:track:62w0FwjHqlQ3JH7eI6d61k,"Your Bones (Intermission)","Someday Somewhere","Mura Masa",2015-04-10,106680,21,false,zyfj45vtxqmpicwwzvgk9fqa2,2019-11-01T17:01:39Z,"","Polydor Records",0.378,0.172,10,-21.872,0,0.505,0.824,0,0.338,0.166,130.419,3
spotify:track:2LAADRyMblXuDfKZ8dm8LR,"Are U There?","Someday Somewhere","Mura Masa",2015-04-10,160186,35,false,zyfj45vtxqmpicwwzvgk9fqa2,2019-11-01T17:02:11Z,"","Polydor Records",0.567,0.323,2,-12.122,0,0.468,0.372,0.000037,0.0933,0.247,75.007,1
spotify:track:7jZHUhAmW5oq1cq6s8IxmK,"Sun Models","In Return","ODESZA;Madelyn Grant",2014-09-08,160000,59,false,zyfj45vtxqmpicwwzvgk9fqa2,2019-11-01T17:03:10Z,"chillwave,chillstep","Counter Records",0.681,0.485,8,-9.185,0,0.0755,0.182,0.805,0.0907,0.477,120.005,4
spotify:track:59wlTaYOL5tDUgXnbBQ3my,"A Moment Apart","A Moment Apart","ODESZA",2017-09-08,234244,69,false,zyfj45vtxqmpicwwzvgk9fqa2,2019-11-01T17:03:50Z,"chillwave,chillstep","Counter Records",0.406,0.665,7,-7.903,0,0.0352,0.172,0.693,0.492,0.0758,119.988,4
spotify:track:0C7sbRykiD9VGrz1rXmv0T,"Truth","All Becomes Okay","Shallou",2017-05-12,228162,0,false,zyfj45vtxqmpicwwzvgk9fqa2,2019-11-01T17:05:53Z,"stutter house","Shallou",0.585,0.554,11,-11.666,1,0.0406,0.292,0.939,0.0847,0.123,104.021,4
spotify:track:1a3YbGW0GIjWOzGgvO1J9V,"Rosas","Flowers In The Trap II","shogonodo",2018-07-26,125382,0,false,zyfj45vtxqmpicwwzvgk9fqa2,2019-11-13T05:01:54Z,"lo-fi beats,lo-fi hip hop,lo-fi,jazz beats","Orikami Records",0.761,0.3,3,-17.818,1,0.0482,0.339,0.899,0.143,0.111,133.999,4
spotify:track:3WRQUvzRvBDr4AxMWhXc5E,"Sunset Lover","Presence","Petit Biscuit",2017-11-10,238906,66,false,zyfj45vtxqmpicwwzvgk9fqa2,2019-11-13T05:12:30Z,"","Petit Biscuit Music",0.785,0.525,6,-7.556,1,0.042,0.665,0.423,0.114,0.251,90.853,4
spotify:track:2hFD70XI1S5HeGxasMvgbY,"Indian Summer - Kasbo Remix","Kindred Spirits (Remixes)","Jai Wolf;Kasbo",2017-11-17,256090,0,false,zyfj45vtxqmpicwwzvgk9fqa2,2019-12-13T15:50:36Z,"future bass","Mom+Pop",0.513,0.639,2,-7.905,1,0.0401,0.0676,0.671,0.116,0.144,89.973,4
spotify:track:5szoX7djeMgUhexrlm9u2h,"Carpe Noctem","Carpe Noctem","Sorrow",2019-12-02,347825,32,false,zyfj45vtxqmpicwwzvgk9fqa2,2019-12-16T14:58:54Z,"chillstep","Fent Plates",0.722,0.377,6,-13.964,0,0.204,0.179,0.726,0.0978,0.357,135.964,4
spotify:track:2Il6YZmijqn3YXJNBGaQfh,"Homesick","Carpe Noctem","Sorrow",2019-12-02,331776,23,false,zyfj45vtxqmpicwwzvgk9fqa2,2019-12-16T15:04:54Z,"chillstep","Fent Plates",0.65,0.532,1,-10.64,0,0.237,0.0198,0.00946,0.107,0.123,138.429,4
spotify:track:69d67l28GKygFwW4QbyfDR,"Lost And Found (ODESZA Remix)","The Hidden Shades","Pretty Lights",2014-07-22,278333,42,false,zyfj45vtxqmpicwwzvgk9fqa2,2020-01-07T17:07:19Z,"nu jazz,glitch","8 Minutes 20 Seconds Records",0.332,0.661,9,-5.861,1,0.343,0.00275,0.0832,0.19,0.0508,90.012,4
