Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3VS7DPWJNU5X6M0OJg8CKH,"Online Galaxy","Online Galaxy","Enterky",2020-03-09,252122,11,false,qv239km8gvh4iu36a88hqmdvg,2025-12-03T10:49:04Z,"electro house","Enterky",0.568,0.829,6,-6.978,0,0.124,0.0023,0.24,0.116,0.41,128.177,4
spotify:track:2RGsiy2SjcbA6qTgmTeUDA,"Arcade Dreamers","Arcade Dreamers","Enterky",2021-12-13,271874,1,false,qv239km8gvh4iu36a88hqmdvg,2022-11-09T06:12:58Z,"electro house","Enterky",0.641,0.942,7,-2.545,0,0.0958,0.0238,0.249,0.219,0.5,128.008,4
spotify:track:7yvS47j0uZezAckEQZARgc,"Arcade Dreamers - Peri Sound Remix","Arcade Dreamers (Peri Sound Remix)","Peri Sound;Enterky",2022-12-07,238139,8,false,qv239km8gvh4iu36a88hqmdvg,2022-12-06T15:03:05Z,"bass music,electro house","Peri Sound",0.776,0.729,7,-8.094,0,0.0677,0.00197,0.591,0.106,0.242,127.986,4
spotify:track:3507Teuh1vj1L5eMAJj80O,"Energy Drink","The Classics","Virtual Riot",2017-05-05,303777,44,false,qv239km8gvh4iu36a88hqmdvg,2022-11-09T06:09:45Z,"dubstep,riddim,deathstep,bass music,future bass,edm,dub,drumstep","Create Classics",0.817,0.927,7,-4.119,0,0.22,0.0477,0.0563,0.102,0.443,128.029,4
spotify:track:6TbYnMMWfdUZXQm6tZ6vib,"Rock 'n' Roll (Will Take You to the Mountain)","Scary Monsters and Nice Sprites (Deluxe Tour Edition)","Skrillex",2010-12-21,284130,53,true,qv239km8gvh4iu36a88hqmdvg,2022-11-09T08:58:56Z,"dubstep,edm,electro,electronic","Neon Records/Big Beat/Atlantic",0.713,0.971,0,-1.264,1,0.381,0.00228,0.0000205,0.242,0.676,128.064,4
spotify:track:6I9sncEmtGc9rpKyb8U1f8,"Kill EVERYBODY","Scary Monsters and Nice Sprites EP","Skrillex",2010-12-21,297986,53,false,qv239km8gvh4iu36a88hqmdvg,2022-12-18T13:20:04Z,"dubstep,edm,electro,electronic","Big Beat Records/Atlantic",0.788,0.874,0,-3.336,1,0.0805,0.00219,0.00231,0.0998,0.629,126.988,4
spotify:track:5qFL2uwfnGU8FccwLMgPNQ,"Internet Friends","100% No Modern Talking","Knife Party",2012-08-01,301122,58,true,qv239km8gvh4iu36a88hqmdvg,2024-01-18T09:21:53Z,"dubstep,moombahton,edm,dub","Big Beat Records/Atlantic",0.64,0.903,5,-3.042,0,0.185,0.00105,0.0503,0.171,0.152,128.079,4
spotify:track:3KMeZjFLgFezUYGbcLpDk9,"Airborne","The Outbreak","Zomboy",2014-08-04,330000,28,false,qv239km8gvh4iu36a88hqmdvg,2022-11-09T08:58:50Z,"dubstep,riddim,dub,deathstep,drumstep,bass music,edm","Never Say Die Records",0.597,0.971,5,-2.109,0,0.0487,0.0000418,0.193,0.253,0.264,127.989,4
spotify:track:2iQVxrAzwy8dMG0yldSaIg,"New Game","New Game","Nitro Fun",2014-02-10,259355,48,false,qv239km8gvh4iu36a88hqmdvg,2022-11-09T08:24:28Z,"dubstep","Monstercat",0.627,0.991,1,-2.9,0,0.0804,0.000611,0.675,0.396,0.516,128.007,4
spotify:track:2SijK0x3kO6wdFweY0R9wU,"Sugar Rush","Sugar Rush","Pixl",2013-08-14,285014,37,false,qv239km8gvh4iu36a88hqmdvg,2022-11-09T08:53:37Z,"dubstep","Monstercat",0.706,0.76,7,-4.61,1,0.0581,0.000671,0.254,0.28,0.244,127.993,4
