Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1SShxVVBeZBCY7WddnksPz,"Gypsy Woman (She's Homeless) (La Da Dee La Da Da) - Basement Boy Strip To The Bone Mix","Surprise","Crystal Waters;The Basement Boys",1991-01-01,451826,71,false,aryana.oneill,2025-12-31T06:26:58Z,"","Island Mercury",0.484,0.641,5,-12.612,1,0.0377,0.000779,0.278,0.0738,0.181,119.981,4
spotify:track:14fIlfcmFPlj4V2IazeJ25,"Take It","Take It","Dom Dolla",2018-07-27,234440,62,false,aryana.oneill,2025-12-31T06:26:58Z,"house,tech house","RCA Records Label",0.851,0.742,0,-6.126,1,0.0377,0.0259,0.256,0.111,0.236,123.033,4
spotify:track:1WwQ714xuznu44tEnkem2g,"I Run","I Run","HAVEN.;Kaitlin Aragon",2025-11-21,129565,86,false,aryana.oneill,2026-01-23T19:51:55Z,"","Isekai / Broke / AAO",0.702,0.822,8,-3.077,0,0.0419,0.00172,0.00321,0.244,0.31,138.18,4
spotify:track:1gRQxbfL4ULWyTosgXSbWT,"You Little Beauty","You Little Beauty","FISHER",2019-05-10,206587,65,false,aryana.oneill,2025-12-31T06:26:58Z,"tech house,house","Catch & Release/Astralwerks",0.926,0.951,6,-5.531,0,0.0924,0.00232,0.452,0.313,0.918,123.987,4
spotify:track:303ccTay2FiDTZ9fZ2AdBt,"Music Sounds Better With You","Music Sounds Better With You","Stardust;Benjamin Diamond;Alan Braxe;Thomas Bangalter",1998-07-20,403293,73,false,aryana.oneill,2025-12-31T06:26:58Z,"french house","Because Music",0.735,0.72,1,-7.04,1,0.336,0.00105,0.15,0.382,0.364,124.174,4
spotify:track:46nw6YdpJkEyclznx4VU7o,"Plasma","Planet Piano","DR. GABBA",2022-03-11,251904,54,false,aryana.oneill,2025-12-31T06:26:58Z,"rally house,house","RAVESTATION",0.811,0.749,3,-9.051,1,0.0636,0.0154,0.886,0.133,0.542,125.995,4
spotify:track:44CZRkOxv7UItaAUmh8PgN,"Doses & Mimosas","Year of the Caprese","Cherub",2014,323253,70,true,aryana.oneill,2025-12-31T06:26:58Z,"","Columbia",0.775,0.655,5,-7.333,1,0.102,0.114,0.00016,0.035,0.346,114.503,4
spotify:track:6ho0GyrWZN3mhi9zVRW7xi,"Losing It","Losing It","FISHER",2018-07-13,248035,73,false,aryana.oneill,2025-12-31T06:26:58Z,"tech house,house","Fisher - Follow the FISH, LLC",0.76,0.964,2,-5.844,1,0.0577,0.00181,0.703,0.0975,0.643,125.003,4
spotify:track:1Up1XBkxqdtu2BMP8iJr48,"Pyramid","Alchemy","ALYSS",2017-03-12,233684,0,false,aryana.oneill,2025-12-31T06:26:58Z,"","Tropopause Records",0.654,0.758,3,-9.779,1,0.274,0.0447,0,0.0971,0.414,114.082,4
spotify:track:4Pd6KvXa6DVEA5Wr41k9Dw,"think you're someone new","think you're someone new","Ian Asher;Arden Jones",2026-01-30,150583,71,true,aryana.oneill,2026-02-16T01:51:46Z,"","broke",0.695,0.917,9,-6.365,1,0.0419,0.0391,0.0145,0.404,0.331,131.844,3
