Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6a8vuTNZubAqZ1LdTwuIud,"How Did I Get Here","Summer's Gone","ODESZA",2012-09-05,131250,57,false,saph.waffle,2025-03-12T17:37:17Z,"chillwave,chillstep","ODESZA",0.699,0.562,0,-8.02,0,0.0304,0.673,0.626,0.39,0.36,96.077,4
spotify:track:24LS4lQShWyixJ0ZrJXfJ5,"Sweet Nothing (feat. Florence Welch)","18 Months","Calvin Harris;Florence Welch",2012-10-29,212560,77,false,saph.waffle,2025-08-12T08:06:58Z,"edm","Columbia",0.573,0.929,8,-3.942,0,0.109,0.197,0.000112,0.0567,0.582,127.934,4
spotify:track:5jdGLLEA1e85jy9VYdggoP,"Crave You - Adventure Club Remix","Crave You (Remixes)","Flight Facilities;Adventure Club",2010-03-26,236930,60,false,saph.waffle,2025-08-12T08:07:04Z,"nu disco,melodic bass,dubstep,edm,chillstep,future bass","FF",0.643,0.693,1,-5.645,0,0.0946,0.00595,0.000118,0.0726,0.083,140,4
spotify:track:11Iv8RCFmeImLOpaHYxKb4,"Stereo Love","Stereo Love","Edward Maya;Vika Jigulina",2009,185120,69,false,saph.waffle,2025-08-12T08:07:08Z,"","Ultra Records, LLC",0.775,0.726,9,-5.629,1,0.0369,0.0399,0.0235,0.11,0.206,126.999,4
spotify:track:7gqKkrzG5OV1CLViOaXSay,"Insane feat. Moon Holiday","Flume","Flume;Moon Holiday",2012-11-09,213883,57,false,saph.waffle,2025-08-12T08:07:12Z,"future bass","Mom+Pop",0.487,0.535,5,-8.257,0,0.0328,0.0507,0.0000603,0.121,0.0485,93.984,4
spotify:track:6QvldZZ10eYgKamaWfG52b,"Fuck Your Sunshine (Adventure Club Remix)","Fuck Your Sunshine (Adventure Club Remix)","Łaszewo;Adventure Club",2022-10-07,224250,47,true,saph.waffle,2025-08-12T08:07:16Z,"stutter house,melodic bass,dubstep,edm,chillstep,future bass","Łaszewo",0.576,0.558,2,-6.216,0,0.0342,0.0807,0,0.245,0.182,80.005,4
spotify:track:2cmRpmO04TLaKPzmAzySYZ,"Dance Yrself Clean","This Is Happening","LCD Soundsystem",2010-05-17,536471,65,false,saph.waffle,2025-08-12T08:07:21Z,"alternative dance,new rave","Parlophone UK",0.739,0.611,11,-9.829,1,0.0622,0.00557,0.725,0.04,0.794,98.004,4
spotify:track:14gdERIqymApVn9vcsbmZ3,"Never Be Like You (feat. Kai)","Skin","Flume;kai",2016-05-27,234909,72,true,saph.waffle,2025-08-12T08:07:37Z,"future bass","Mom+Pop",0.448,0.59,0,-4.359,1,0.0577,0.446,0,0.14,0.264,119.834,4
spotify:track:2XMTqoHHSH0lvuXrvIEdco,"Capsize","Truce - EP","FRENSHIP;Emily Warren",2016-09-02,237706,66,false,saph.waffle,2025-08-12T08:07:45Z,"","Columbia",0.683,0.708,5,-6.244,0,0.0305,0.0398,0.155,0.686,0.355,92.991,4
spotify:track:60wwxj6Dd9NJlirf84wr2c,"Clarity","Clarity","Zedd;Foxes",2012-01-01,271426,80,false,saph.waffle,2025-08-12T08:07:59Z,"edm","Interscope",0.509,0.781,8,-3.48,1,0.072,0.0398,0,0.0749,0.176,128,4
spotify:track:7MmG8p0F9N3C4AXdK6o6Eb,"Outside (feat. Ellie Goulding)","Motion","Calvin Harris;Ellie Goulding",2014-10-31,227266,87,false,saph.waffle,2025-08-12T08:08:08Z,"edm","Columbia",0.646,0.823,2,-4.123,0,0.0394,0.213,0,0.322,0.418,128.035,4
spotify:track:6YUTL4dYpB9xZO5qExPf05,"Summer","Motion","Calvin Harris",2014-10-31,222533,84,false,saph.waffle,2025-08-12T08:08:13Z,"edm","Columbia",0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,4
spotify:track:1gihuPhrLraKYrJMAEONyc,"Feel So Close - Radio Edit","18 Months","Calvin Harris",2012-10-29,206413,85,false,saph.waffle,2025-08-12T08:08:20Z,"edm","Columbia",0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,4
