Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6roSfuAWkVuHSUOLRbB0Kk,"stuck","stuck","anna luna",2023-08-03,118000,0,false,saph.waffle,2024-11-05T16:34:40Z,"electroclash,witch house,hyperpop","bronze standard listening",0.657,0.717,6,-7.482,0,0.0539,0.0277,0.00000781,0.0947,0.317,119.966,4
spotify:track:1LQZvsX3Wn0FX5vPd2Y8Px,"wake me up","wake me up","anna luna",2024-07-25,129373,0,false,saph.waffle,2024-11-05T16:34:48Z,"electroclash,witch house,hyperpop","bronze standard listening",0.795,0.911,0,-5.147,1,0.176,0.127,0.258,0.138,0.679,128.017,4
spotify:track:4UQEO2qie20yQZezxZvsAy,"rotten","rotten","anna luna",2023-08-03,130000,0,false,saph.waffle,2024-11-05T16:34:55Z,"electroclash,witch house,hyperpop","bronze standard listening",0.672,0.845,7,-6.554,1,0.0298,0.0291,0.881,0.346,0.386,120.027,4
spotify:track:2EyqK1AcSC3AbWHPMbabAh,"house","house","anna luna",2023-08-03,165000,0,false,saph.waffle,2024-11-05T16:34:59Z,"electroclash,witch house,hyperpop","bronze standard listening",0.577,0.848,1,-8.778,1,0.055,0.0168,0.711,0.75,0.34,127.984,4
spotify:track:7zHehwGCfT6befxyOenhgE,"Haunting Me","The Snow Strippers","Snow Strippers",2022-06-30,144378,37,false,saph.waffle,2024-11-05T16:35:22Z,"electroclash,witch house","Nice Bass Bro",0.51,0.689,0,-6.792,0,0.0312,0.00386,0,0.269,0.463,121.004,4
spotify:track:5vV6MKyUYAcZo9X5f3ztDt,"Fantasy","COLLIDING WALLS KILLING AND FANTASY","Snow Strippers",2022-03-17,163750,30,false,saph.waffle,2024-11-05T16:35:27Z,"electroclash,witch house","Nice Bass Bro",0.595,0.902,6,-6.321,0,0.0301,0.00933,0.0000563,0.797,0.198,123.989,4
spotify:track:7h3nwFlCtiRcS312M4tHEF,"Tell Me","Blissed","Suzy Sheer",2021-05-01,211338,38,false,saph.waffle,2024-11-05T16:35:31Z,"electroclash,witch house","bronze standard listening",0.654,0.852,9,-3.871,1,0.0312,0.128,0.884,0.103,0.63,133.998,4
spotify:track:5ioUOGxFNhsRraxCSq4H3l,"Days","Blissed","Suzy Sheer",2021-05-01,180463,40,false,saph.waffle,2024-11-05T16:35:35Z,"electroclash,witch house","bronze standard listening",0.591,0.95,1,-0.466,0,0.0339,0.122,0.296,0.141,0.961,128.996,4
spotify:track:11WwQT107JzT8UKyIeSAAv,"Uncrushworthy","Euphoriphilia","Suzy Sheer;DJH",2024-07-26,159402,36,false,saph.waffle,2024-11-05T16:35:39Z,"electroclash,witch house,hyperpop","bronze standard listening",0.592,0.61,0,-3.055,1,0.0297,0.00507,0,0.324,0.617,133.91,4
spotify:track:36ufgPKJxX6HB0QCl71bL8,"Magic","Blissed","Suzy Sheer",2021-05-01,169711,34,false,saph.waffle,2024-11-05T16:35:42Z,"electroclash,witch house","bronze standard listening",0.649,0.722,11,-2.916,0,0.0789,0.000186,0.945,0.0292,0.611,140.139,4
spotify:track:6j9H7uUgFnz7cJIhgcqFP6,"Know My Name - Suzy Sheer Remix","Know My Name (Suzy Sheer Remix)","Suzy Sheer;Snow Strippers",2022-03-25,127550,41,false,saph.waffle,2024-11-05T16:35:46Z,"electroclash,witch house","bronze standard listening",0.453,0.699,7,-13.909,0,0.0303,0.0000871,0.154,0.117,0.356,150.515,4
spotify:track:66gIrkBc8C4zriZrobr4ew,"youmynumberone","youmynumberone","Suzy Sheer;DJH",2024-02-02,138840,20,true,saph.waffle,2024-11-05T16:35:50Z,"electroclash,witch house,hyperpop","bronze standard listening",0.577,0.475,8,-11.973,1,0.0921,0.0827,0,0.136,0.566,131.408,4
spotify:track:4PcyEfHu8Jy7SyNa8G6gYx,"Ether","LL","The Hellp",2024-10-25,173684,39,false,saph.waffle,2024-11-05T16:35:57Z,"electroclash,new rave,hyperpop","Anemoia/Atlantic",0.654,0.841,4,-4.306,0,0.0651,0.127,0.0000849,0.136,0.766,133.056,4
spotify:track:4akQrFczed932aMXbY3Bw6,"Caustic","LL","The Hellp",2024-10-25,177493,51,false,saph.waffle,2024-11-05T16:36:01Z,"electroclash,new rave,hyperpop","Anemoia/Atlantic",0.607,0.807,11,-3.577,1,0.15,0.0127,0,0.329,0.7,140.078,4
spotify:track:1xjJUlU9ClWae8ToZDiyN1,"9_21","LL","The Hellp",2024-10-25,230022,35,false,saph.waffle,2024-11-05T16:36:05Z,"electroclash,new rave,hyperpop","Anemoia/Atlantic",0.664,0.534,8,-5.092,1,0.0632,0.111,0,0.0882,0.553,144.007,4
spotify:track:1vuWZlYfxpx43RRx8Kf9sJ,"Kill4Me","LL","The Hellp",2024-10-25,183784,36,false,saph.waffle,2024-11-05T16:36:10Z,"electroclash,new rave,hyperpop","Anemoia/Atlantic",0.584,0.807,7,-5.853,1,0.17,0.000793,0.00432,0.0953,0.582,176.092,4
spotify:track:2LlTrIxxo3f1CgXqG7U92G,"4up7up","Enemy","The Hellp",2021-10-01,144057,39,false,saph.waffle,2024-11-05T16:36:20Z,"electroclash,new rave,hyperpop","Terrible Records",0.343,0.923,10,-5.255,0,0.109,0.329,0.00655,0.0642,0.0672,160.106,4
spotify:track:0vruJpT8IuvBxj9Z7Stm0w,"Colorado","Colorado","The Hellp",2024-06-28,158942,0,false,saph.waffle,2024-11-05T16:36:42Z,"electroclash,new rave,hyperpop","Anemoia/Atlantic",0.524,0.947,0,-3.145,1,0.143,0.0336,0.00000474,0.0985,0.832,161.984,4
spotify:track:6HmTAsOX9oARMyFdMY4E7g,"Wingspan","Vol. 1","The Hellp",2021-04-28,212054,43,false,saph.waffle,2024-11-05T16:36:56Z,"electroclash,new rave,hyperpop","Terrible Records",0.436,0.727,6,-7.283,1,0.0349,0.182,0.335,0.339,0.0963,146.082,4
spotify:track:1AJHaJFNM2Q4UpJ1fG1bIi,"Ssx","Vol. 1","The Hellp",2021-04-28,216198,59,false,saph.waffle,2024-11-05T16:37:00Z,"electroclash,new rave,hyperpop","Terrible Records",0.538,0.916,5,-8.109,1,0.0622,0.0293,0.0000132,0.473,0.491,121.036,4
spotify:track:07n9sk2MGDjw0SHrSaxmog,"Tu Tu Neurotic","Vol. 1","The Hellp",2021-04-28,186240,53,true,saph.waffle,2024-11-05T16:37:10Z,"electroclash,new rave,hyperpop","Terrible Records",0.679,0.56,6,-10.464,1,0.201,0.449,0,0.13,0.676,125.125,4
spotify:track:5dcG6HCp0jF90Fx2pRKycM,"Blissed","Blissed","Suzy Sheer",2021-05-01,218005,58,false,saph.waffle,2024-11-05T16:37:31Z,"electroclash,witch house","bronze standard listening",0.59,0.733,1,-5.87,1,0.0384,0.000853,0.703,0.254,0.739,119.909,4
spotify:track:6VBYJYgeWQaKemjro2OyE0,"Glitter","Euphoriphilia","Suzy Sheer",2024-07-26,142439,45,false,saph.waffle,2024-11-05T16:37:34Z,"electroclash,witch house","bronze standard listening",0.77,0.734,10,-3.512,0,0.129,0.172,0.000319,0.0956,0.842,139.847,4
spotify:track:0k0WJUnSTZsi5lsr9LlRoY,"GTHRMX","Euphoriphilia","Suzy Sheer",2024-07-26,108750,41,false,saph.waffle,2024-11-05T16:37:38Z,"electroclash,witch house","bronze standard listening",0.68,0.862,0,-2.203,1,0.0427,0.0033,0.00000395,0.208,0.566,128.009,3
spotify:track:0rJvdHXHV9xOXAsq8bna7Q,"You Could Be The One","April Mixtape 2","Snow Strippers",2022-09-15,141541,66,true,saph.waffle,2024-11-05T16:38:00Z,"electroclash,witch house","Nice Bass Bro",0.513,0.985,1,-5.029,1,0.0806,0.229,0.832,0.114,0.841,155.987,4
spotify:track:6zOiNodZimu0Ol5czdUEaJ,"Passionate Highs","The Snow Strippers","Snow Strippers",2022-06-30,198687,57,false,saph.waffle,2024-11-05T16:38:03Z,"electroclash,witch house","Nice Bass Bro",0.521,0.944,5,-5.672,0,0.0442,0.00318,0,0.657,0.766,115.934,4
spotify:track:1sVjxGmYinQhxuzDrN62g4,"Deceitful Eyes","April Mixtape 3","Snow Strippers",2023-05-05,144624,14,false,saph.waffle,2024-11-05T16:38:08Z,"electroclash,witch house","SURF GANG RECORDS",0.658,0.836,8,-3.823,1,0.0401,0.426,0,0.274,0.852,129.976,4
spotify:track:614Oj0ngRSnCkTvJikdv7T,"Sick","April Mixtape 3","Snow Strippers",2023-05-05,155675,14,false,saph.waffle,2024-11-05T16:38:17Z,"electroclash,witch house","SURF GANG RECORDS",0.638,0.999,9,-3.502,1,0.0707,0.186,0,0.455,0.766,157.057,4
spotify:track:18n0voG6fG03ogJznGiyWD,"Just Your Doll","Just Your Doll","Snow Strippers",2023-11-15,147234,70,false,saph.waffle,2024-11-05T16:38:21Z,"electroclash,witch house","Surf Gang Records",0.478,0.819,1,-1.822,1,0.0312,0.0374,0.000125,0.191,0.26,141.109,4
spotify:track:6N45bcEjjzdXqFRjECG32x,"Aching Like It's","Night Killaz Vol. 1","Snow Strippers",2023-11-24,140408,58,false,saph.waffle,2024-11-05T16:38:25Z,"electroclash,witch house","Surf Gang Records",0.654,0.996,11,-1.696,0,0.272,0.567,0,0.21,0.67,147.028,4
spotify:track:3iRoXGFrF8O0jTul6LAmus,"Under Your Spell","April Mixtape 3","Snow Strippers",2023-05-05,218500,49,false,saph.waffle,2024-11-05T16:38:32Z,"electroclash,witch house","SURF GANG RECORDS",0.582,0.986,11,-4.492,0,0.0585,0.00391,0.0000925,0.789,0.744,144.958,4
spotify:track:6OcdE1JNrGx3ONvMbrVds3,"Video Games 2","Night Killaz Vol. 2","Snow Strippers;PurpleSparklyBentley",2024-05-08,154394,31,false,saph.waffle,2024-11-05T16:38:36Z,"electroclash,witch house","Surf Gang Records",0.424,0.969,6,-3.312,1,0.281,0.00424,0,0.392,0.63,157.068,4
spotify:track:0L4dXJnz7HHnnqtfOoDUbE,"Back N Forth","Night Killaz Vol. 2","Snow Strippers",2024-05-08,136082,37,false,saph.waffle,2024-11-05T16:38:39Z,"electroclash,witch house","Surf Gang Records",0.446,0.968,7,-3.886,0,0.313,0.0952,0,0.648,0.552,94.716,4
spotify:track:4v3LkPH31MOIh2MFp8niuU,"Chained Up","Night Killaz Vol. 2","Snow Strippers",2024-05-08,122400,41,false,saph.waffle,2024-11-05T16:38:46Z,"electroclash,witch house","Surf Gang Records",0.376,0.905,9,-4.361,1,0.0565,0.0000612,0.429,0.21,0.326,99.87,4
spotify:track:6rHBKKhVw5pANLuynFxQjp,"Favorite Lifeline","Night Killaz Vol. 2","Snow Strippers",2024-05-08,174035,37,false,saph.waffle,2024-11-05T16:38:50Z,"electroclash,witch house","Surf Gang Records",0.474,0.91,4,-3.182,0,0.0782,0.14,0,0.185,0.276,85.589,4
spotify:track:3Om0j8yTp9MMMvrf4Xe94N,"So What If I'm A Freak","So What If I'm A Freak","Snow Strippers",2024-04-03,146865,60,false,saph.waffle,2024-11-05T16:38:55Z,"electroclash,witch house","Surf Gang Records",0.548,0.948,4,-1.131,0,0.0583,0.0504,0.000249,0.363,0.374,134.043,4
spotify:track:05enhLq9gJY7SuguIh1YZZ,"TV Sex","The Snow Strippers","Snow Strippers",2022-06-30,135000,48,false,saph.waffle,2024-11-05T16:38:59Z,"electroclash,witch house","Nice Bass Bro",0.582,0.747,1,-8.474,1,0.0613,0.176,0.0609,0.139,0.804,119.906,4
