Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3jSTCf4oCzZ2yhKNbmfl5k,"Spiritual Cramp - 1","Only Theatre of Pain","Christian Death",1982,175800,43,false,saph.waffle,2023-04-20T05:55:21Z,"deathrock,gothic rock,post-punk,darkwave,cold wave,gothic metal,horror punk","Frontier",0.309,0.975,1,-8.245,1,0.0973,0.0211,0.0111,0.888,0.252,145.599,4
spotify:track:5guasiYhIKTJC84TNsazSm,"Romeo's Distress - 1","Only Theatre of Pain","Christian Death",1982,196106,50,false,saph.waffle,2023-04-20T05:55:33Z,"deathrock,gothic rock,post-punk,darkwave,cold wave,gothic metal,horror punk","Frontier",0.164,0.974,9,-8.399,1,0.0921,0.00922,0.000359,0.238,0.209,177.821,4
spotify:track:7Cp2PE6Id35QlK1pIpu7X9,"This Could Build Us a Home","haha","The Garden",2015-10-09,120403,53,true,saph.waffle,2023-04-20T05:56:01Z,"","Epitaph",0.623,0.952,6,-5.637,0,0.13,0.00857,0.294,0.128,0.397,95.051,4
spotify:track:7LcmuGeSXQzQlteW3yGtWb,"Thy Mission","Thy Mission","The Garden;Mac DeMarco",2019-04-09,221000,55,true,saph.waffle,2023-04-20T05:56:04Z,"indie,lo-fi indie","Epitaph",0.419,0.94,10,-6.054,0,0.116,0.203,0.822,0.303,0.355,160.026,4
spotify:track:5MAY9dX4BwU6O7qV2DJCyP,"Chainsaw the Door","HORSESHIT ON ROUTE 66","The Garden",2022-09-08,148506,0,true,saph.waffle,2023-04-20T05:56:13Z,"","Vada Vada",0.58,0.828,10,-5.183,0,0.0641,0.000617,0.0361,0.291,0.624,92.517,4
spotify:track:4Vie7AYSqfGHEP2uBh0ua5,"Egg","haha","The Garden",2015-10-09,184662,50,false,saph.waffle,2023-04-20T05:57:49Z,"","Epitaph",0.568,0.778,0,-6.5,1,0.0338,0.00101,0.00659,0.113,0.672,124.077,4
spotify:track:3HfEgAaf0koxBpBB8NvGda,"When You Sleep","Loveless","my bloody valentine",1991-11-04,251933,47,false,saph.waffle,2023-04-20T05:59:05Z,"shoegaze,dream pop,slowcore,noise rock","Rhino/Warner Records",0.4,0.82,11,-12.281,1,0.0466,0.000295,0.79,0.236,0.135,128.894,4
spotify:track:3pyQ4ijJjLPW0wW1mPExdc,"Athoth a Go!! Go!!","…Because I’m Young Arrogant and Hate Everything You Stand For","Machine Girl",2017-09-22,95002,0,false,saph.waffle,2023-04-20T06:00:21Z,"breakcore,speedcore,jungle,hyperpop","Orange Milk",0.369,0.984,8,-3.916,1,0.259,0.154,0.0154,0.284,0.31,180.045,3
spotify:track:3cfELE9YcqtBcs304pUPrj,"Aisha Qandisha","Taqbir","Taqbir",2021-01-27,98783,0,false,saph.waffle,2023-04-20T06:00:35Z,"egg punk,hardcore punk,riot grrrl","Taqbir",0.313,0.936,9,-2.537,0,0.0696,0.0222,0.968,0.382,0.331,82.604,4
spotify:track:6x9mroLSP7xXfYRJBtHn0s,"Al-zuki Akbar","Taqbir","Taqbir",2021-01-27,105888,0,false,saph.waffle,2023-04-20T06:00:41Z,"egg punk,hardcore punk,riot grrrl","Taqbir",0.363,0.919,11,-2.483,1,0.0951,0.0399,0.00116,0.768,0.158,115.615,4
spotify:track:1D8sCqR7SwxUTwUDqMyUAp,"flutter","flutter","julie",2020-04-10,267491,0,false,saph.waffle,2023-04-20T06:01:44Z,"shoegaze","julie under exclusive license to Amuseio AB",0.173,0.694,9,-6.549,1,0.0466,0.00000631,0.888,0.442,0.351,116.088,4
spotify:track:07MLvbVrMGsjzOYjJlZFD5,"Glue","I Hate Myself","P.H.F.",2018-07-20,195046,0,false,saph.waffle,2023-04-20T06:02:46Z,"egg punk","Danger Collective Records",0.269,0.641,9,-5.748,1,0.0426,0.0394,0.174,0.336,0.225,170.082,4
spotify:track:4ZAWpkCs5E22vL9qlSnoMg,"Call This # Now","Call This # Now","The Garden",2016-07-26,144509,50,true,saph.waffle,2023-04-20T06:03:34Z,"","Epitaph",0.634,0.871,3,-5.581,0,0.076,0.00917,0.000121,0.172,0.581,140.915,4
spotify:track:4TJVYq699BO7PagAjXxYhJ,"soon","loveless","my bloody valentine",1991-11-04,419306,48,false,saph.waffle,2023-04-20T06:04:21Z,"shoegaze,dream pop,slowcore,noise rock","Domino Recording Co",0.431,0.927,6,-9.072,0,0.0432,0.00000599,0.869,0.42,0.632,109.55,4
spotify:track:6XXcWVWc4Y8Msqypisg105,"you made me realise","you made me realise","my bloody valentine",1988-08-08,226160,35,false,saph.waffle,2023-04-20T06:06:17Z,"shoegaze,dream pop,slowcore,noise rock","Domino Recording Co",0.0895,0.892,0,-7.958,1,0.066,0.00000139,0.843,0.0784,0.322,175.365,4
spotify:track:5mpUKTdskZea0gStWzeHUZ,"Unsainted","We Are Not Your Kind","Slipknot",2019-08-09,260773,73,true,saph.waffle,2023-04-20T06:08:33Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.427,0.946,7,-2.188,1,0.0469,0.000118,0.0253,0.0604,0.237,101.305,4
spotify:track:2W2eaLVKv9NObcLXlYRZZo,"Spit It Out","Slipknot (10th Anniversary Edition)","Slipknot",2009-09-09,159773,60,true,saph.waffle,2023-04-20T06:08:55Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.331,0.946,7,-4.599,1,0.0775,0.0309,0.00000562,0.254,0.534,139.965,4
spotify:track:54cWVWqgyFukgDKQYmaKM3,"Stupify","The Sickness (10th Anniversary Edition)","Disturbed",2010-03-22,274000,54,true,saph.waffle,2023-04-20T06:11:58Z,"metal,nu metal,alternative metal,rap metal,hard rock","Reprise",0.597,0.939,1,-3.001,1,0.0446,0.00108,0.0000977,0.201,0.422,98,4
spotify:track:40rvBMQizxkIqnjPdEWY1v,"Down with the Sickness","The Sickness","Disturbed",2000-03-07,279213,78,true,saph.waffle,2023-04-20T06:12:40Z,"metal,nu metal,alternative metal,rap metal,hard rock","Giant/Reprise",0.695,0.876,3,-4.262,0,0.0553,0.000996,0.00000689,0.106,0.941,89.954,4
spotify:track:0Pie5DFAHHxpkONFUsAI6s,"Aneurysm","Incesticide","Nirvana",1992-12-14,275600,66,false,saph.waffle,2023-04-24T05:44:01Z,"grunge,rock","Geffen",0.298,0.823,7,-9.793,1,0.0816,0.0000766,0.0000753,0.132,0.235,135.596,4
spotify:track:2p7C05kCF7d5a9M3K6TVSR,"In Dreams","Thank You For Being Here","cursetheknife",2021-05-28,376000,25,false,saph.waffle,2023-04-24T05:47:46Z,"shoegaze,slowcore","New Morality Zine",0.416,0.996,9,-4.235,0,0.0724,0.00146,0.929,0.11,0.343,120.017,4
spotify:track:37oweVea2IKB7pbH5Olgl4,"Secrecy Is Incredibly Important To The Both of Them","The Asymptotical World EP","Yves Tumor",2021-07-15,232946,41,false,saph.waffle,2023-05-07T18:28:56Z,"","Warp Records",0.369,0.923,0,-6.591,1,0.0445,0.0000041,0.878,0.393,0.64,168.003,4
spotify:track:0P68YGNX1cAI91U5ImnyIS,"2007","New Superheroes & Demos","YOU LOVE HER",2015-06-15,273485,0,false,saph.waffle,2023-05-06T05:57:17Z,"witch house,electroclash,new rave","ROPP REX",0.273,0.868,5,-2.158,0,0.0646,0.0000164,0.0493,0.0981,0.493,135.192,4
spotify:track:596pY5JqwSgSqM8cA4A0rg,"God Is a Circle","Praise A Lord Who Chews But Which Does Not Consume; (Or Simply, Hot Between Worlds)","Yves Tumor",2023-03-17,212706,40,false,saph.waffle,2023-05-07T19:52:31Z,"","Warp Records",0.562,0.895,11,-5.007,0,0.0343,0.000241,0.368,0.535,0.452,109.598,4
spotify:track:10RwBdB9ovDKoxArZZlqjJ,"Venus Blue","Paegan Terrorism Tactics","Acid Bath",1996,282026,44,false,saph.waffle,2023-05-20T11:49:12Z,"sludge metal,stoner metal,doom metal,drone metal","Rotten Records",0.381,0.818,10,-10.135,0,0.0556,0.000224,0.00491,0.0991,0.46,121.987,4
spotify:track:6BJDm49rA5SDsTNVVf7lfA,"Labyrinth","Flight 777","Slater",2019-06-27,157753,15,true,saph.waffle,2023-05-20T19:49:59Z,"","Vada Vada",0.75,0.592,7,-10.263,1,0.0594,0.00303,0.476,0.113,0.074,139.976,4
spotify:track:5ybk0RVtJLh63xcoMyLoTQ,"Judas Effect","Lionheart","Vestron Vulture",2020-10-10,192000,52,true,saph.waffle,2023-06-01T09:20:20Z,"darkwave,post-punk,cold wave,synthwave,witch house","Vestron Vulture",0.546,0.907,7,-6.477,1,0.044,0.00731,0.663,0.118,0.613,149.963,4
spotify:track:7AIRXaWc2HPUvIqJ19IbtU,"Stabilisers For Big Boys","D>E>A>T>H>M>E>T>A>L","Panchiko",2000-12-05,252400,59,false,saph.waffle,2023-06-01T19:06:19Z,"shoegaze","Panchiko",0.572,0.814,1,-4.597,1,0.0275,0.0444,0.0384,0.344,0.506,100.053,4
spotify:track:0kU19o73JmFA5HS2kuYFWe,"lochness","pushing daisies","julie",2021-08-12,204920,51,false,saph.waffle,2023-06-01T19:06:42Z,"shoegaze","Julie",0.3,0.969,7,-5.061,1,0.09,0.000488,0.244,0.63,0.101,178.09,4
spotify:track:61mWefnWQOLf90gepjOCb3,"Duality","Vol. 3: The Subliminal Verses (Special Edition)","Slipknot",2004,252613,83,false,saph.waffle,2023-06-01T19:13:24Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.354,0.982,4,-3.026,0,0.168,0.000237,0.000294,0.204,0.194,143.772,4
spotify:track:3TZuUaGjEtyAiUM9iM89ff,"Clown","Korn","Korn",1994-10-11,276573,60,false,saph.waffle,2023-06-01T19:13:35Z,"nu metal,metal,rap metal,alternative metal","Immortal/Epic",0.458,0.787,1,-6.909,1,0.17,0.0101,0.0000876,0.065,0.301,80.482,4
spotify:track:5vVKkF3xih38Vcoo4HgAo8,"Engine No. 9","Adrenaline","Deftones",1995,204880,70,true,saph.waffle,2023-06-01T19:13:42Z,"nu metal,alternative metal,rap metal,shoegaze,rock","Rhino",0.358,0.981,2,-5.13,1,0.178,0.000093,0.000193,0.386,0.382,93.744,4
spotify:track:7IZ4uRJfJrkLg2EpU4Qfcn,"feel alive","SLATTYDON","Hardrock",2022-11-04,156995,47,true,saph.waffle,2023-07-15T03:11:03Z,"rage rap,underground hip hop","Hardrock",0.409,0.626,4,-8.807,0,0.0498,0.0000587,0,0.655,0.143,73.949,4
spotify:track:3h99RESVnS9wla9mxLGC0q,"The Collapse","Home School Valedictorian","Adelitas Way",2011-01-01,218026,35,false,saph.waffle,2023-10-15T15:44:56Z,"post-grunge","Virgin Records",0.404,0.969,9,-3.83,1,0.0694,0.00182,0.0000883,0.313,0.41,168.013,4
spotify:track:56RVUS1Yo2YxkhU9bIi2i1,"The Key To Gramercy Park - Album Version (Edited)","Commencement","Deadsy",1999,192933,42,false,saph.waffle,2023-10-31T20:55:09Z,"industrial metal,industrial rock,nu metal,industrial","DreamWorks",0.523,0.933,9,-5.223,1,0.0917,0.000162,0.00643,0.151,0.677,100.958,4
spotify:track:5XsdXJJYkUfFjEtXEdmlw1,"Stress Builds Character","Human = Garbage","Dystopia",1994-10-14,349693,41,false,saph.waffle,2023-11-02T23:00:25Z,"sludge metal,grindcore,stoner metal,hardcore punk,doom metal","Tankcrimes",0.286,0.78,7,-8.961,1,0.475,0.0143,0.0386,0.0826,0.174,80.705,3
