Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2X7ViDHEvPbxytlbwqLpLn,"Never Wanted It To End","Never Wanted It To End","FULLCLIP",2025-05-23,212114,60,false,,2026-02-19T04:18:24Z,"uk garage","Thirty Knots",0.725,0.915,6,-3.473,0,0.0785,0.0431,0.323,0.349,0.169,140.039,4
spotify:track:6kZqCqD1r08sJAQ1TjuEpM,"Never Meant","American Football","American Football",1999-09-14,268333,65,false,,2026-02-18T20:35:00Z,"midwest emo,math rock,emo","Polyvinyl Records",0.434,0.808,0,-6.601,1,0.0359,0.0233,0.0111,0.153,0.422,144.292,4
spotify:track:4XDfsY7EB6B8DfO3UHf6si,"just checkin' in - demo","just checkin' in (demo)","kelly bridges",2026-01-16,158529,37,false,,2026-02-18T19:24:24Z,"math rock","Go Sports!",0.537,0.217,1,-11.519,1,0.0398,0.918,0.75,0.0988,0.0692,97.74,4
spotify:track:6HpEoY9zOGpsUEqU5gm2Rl,"Thermodynamix","Moar Geometry","dj-Nate",2021-07-26,162508,55,false,,2026-02-16T22:29:03Z,"","dj-Nate",0.648,0.569,1,-8.799,0,0.225,0.00509,0.00358,0.149,0.468,129.924,4
spotify:track:2KDXvzlT1hA6TAim3COo8i,"Deaprture from the Northern Wasteland","Hoenig: Departure From the Northern Wasteland","Michael Hoenig;Lutz Ulbrich",1987-01-01,1255000,0,false,,2026-02-16T18:30:45Z,"krautrock,space music","Kuckuck",0.438,0.323,7,-17.732,0,0.037,0.912,0.882,0.0991,0.145,144.27,5
spotify:track:5U6FLERTCtCgLUXU4XsIf5,"Particle Arts","Virtual Self","Virtual Self",2017-12-01,234024,0,false,,2026-02-16T18:02:16Z,"","Virtual Self",0.233,0.737,11,-7.273,0,0.0563,0.00122,0.0992,0.12,0.182,174.097,4
spotify:track:6EXeEUgTbovTTMfLfMQhQW,"together - jamesjamesjames remix","together (jamesjamesjames remix)","Fatshaudi;Luca Rain;jamesjamesjames",2025-09-09,342964,18,false,,2026-02-16T18:01:30Z,"happy hardcore,lo-fi house","Fatshaudi, Luca Rain and jamesjamesjames",0.612,0.969,1,-5.58,1,0.0826,0.000979,0.211,0.392,0.668,139.998,4
spotify:track:6VIZqxckiNCgFWYw3gBRva,"crystal clear","crystal clear","vjorka;crayvxn",2025-11-12,266187,16,false,,2026-02-16T18:01:19Z,"hard house,trance,japanese indie","Collection Disques Durs",0.404,0.955,9,-6.201,1,0.0382,0.0000081,0.638,0.19,0.406,147.007,4
spotify:track:39qelXRk7zpCXGUXwgYnht,"Heartache","HEARTACHE","DJ Noriken",2025-10-27,230399,11,false,,2026-02-16T18:00:57Z,"speedcore,happy hardcore,hardcore techno,hardcore,j-dance","HYPRFLVX",0.317,0.942,6,-3.409,0,0.234,0.000203,0.419,0.342,0.216,174.954,4
spotify:track:3XH54vGHZCkt4wVdPVoGQd,"the sun will always set","the sun will always set","lostageless;Akoya",2025-11-15,321370,8,false,,2026-02-16T18:00:28Z,"","lostmedia",0.543,0.807,11,-8.573,0,0.202,0.0215,0.0403,0.785,0.233,145.018,4
